Source,Target,Weight,Type
ChatGPT_0,ChatGPT_1,2,undirected
ChatGPT_0,ChatGPT_12,6,undirected
ChatGPT_0,ChatGPT_2,7,undirected
ChatGPT_0,ChatGPT_23,1,undirected
ChatGPT_0,ChatGPT_3,2,undirected
ChatGPT_0,ChatGPT_30,1,undirected
ChatGPT_0,ChatGPT_4,1,undirected
ChatGPT_0,ChatGPT_9,12,undirected
ChatGPT_0,Jasper_10,6,undirected
ChatGPT_0,Perplexity_0,10,undirected
ChatGPT_0,Perplexity_19,3,undirected
ChatGPT_0,Perplexity_2,3,undirected
ChatGPT_1,ChatGPT_0,2,undirected
ChatGPT_1,ChatGPT_2,14,undirected
ChatGPT_1,Jasper_10,2,undirected
ChatGPT_1,Perplexity_0,7,undirected
ChatGPT_1,Perplexity_1,12,undirected
ChatGPT_1,Perplexity_2,2,undirected
ChatGPT_1,Perplexity_35,1,undirected
ChatGPT_10,ChatGPT_24,3,undirected
ChatGPT_10,ChatGPT_4,12,undirected
ChatGPT_10,Jasper_3,1,undirected
ChatGPT_10,Perplexity_26,5,undirected
ChatGPT_10,Perplexity_27,1,undirected
ChatGPT_10,Perplexity_35,3,undirected
ChatGPT_10,Perplexity_4,9,undirected
ChatGPT_11,ChatGPT_16,12,undirected
ChatGPT_11,ChatGPT_21,3,undirected
ChatGPT_11,ChatGPT_5,3,undirected
ChatGPT_11,Perplexity_17,8,undirected
ChatGPT_11,Perplexity_35,4,undirected
ChatGPT_11,Perplexity_4,5,undirected
ChatGPT_12,ChatGPT_0,6,undirected
ChatGPT_12,ChatGPT_19,5,undirected
ChatGPT_12,ChatGPT_20,8,undirected
ChatGPT_12,ChatGPT_22,1,undirected
ChatGPT_12,ChatGPT_26,15,undirected
ChatGPT_12,ChatGPT_27,2,undirected
ChatGPT_12,ChatGPT_29,5,undirected
ChatGPT_12,ChatGPT_3,3,undirected
ChatGPT_12,ChatGPT_9,2,undirected
ChatGPT_12,Jasper_10,2,undirected
ChatGPT_12,Jasper_12,2,undirected
ChatGPT_12,Jasper_7,1,undirected
ChatGPT_12,Jasper_8,4,undirected
ChatGPT_12,Perplexity_0,10,undirected
ChatGPT_12,Perplexity_1,1,undirected
ChatGPT_12,Perplexity_11,1,undirected
ChatGPT_12,Perplexity_12,11,undirected
ChatGPT_12,Perplexity_14,5,undirected
ChatGPT_12,Perplexity_17,2,undirected
ChatGPT_12,Perplexity_19,8,undirected
ChatGPT_12,Perplexity_2,7,undirected
ChatGPT_12,Perplexity_20,5,undirected
ChatGPT_12,Perplexity_22,8,undirected
ChatGPT_12,Perplexity_23,1,undirected
ChatGPT_12,Perplexity_24,2,undirected
ChatGPT_12,Perplexity_28,22,undirected
ChatGPT_12,Perplexity_35,3,undirected
ChatGPT_12,Perplexity_5,3,undirected
ChatGPT_12,Perplexity_6,1,undirected
ChatGPT_12,Perplexity_9,3,undirected
ChatGPT_13,ChatGPT_14,3,undirected
ChatGPT_13,ChatGPT_15,13,undirected
ChatGPT_13,ChatGPT_27,1,undirected
ChatGPT_13,Jasper_6,3,undirected
ChatGPT_13,Jasper_9,2,undirected
ChatGPT_13,Perplexity_13,16,undirected
ChatGPT_13,Perplexity_15,2,undirected
ChatGPT_13,Perplexity_35,2,undirected
ChatGPT_13,Perplexity_4,1,undirected
ChatGPT_14,ChatGPT_13,3,undirected
ChatGPT_14,ChatGPT_27,1,undirected
ChatGPT_14,ChatGPT_28,3,undirected
ChatGPT_14,Perplexity_0,2,undirected
ChatGPT_14,Perplexity_14,22,undirected
ChatGPT_14,Perplexity_35,2,undirected
ChatGPT_14,Perplexity_9,1,undirected
ChatGPT_15,ChatGPT_13,13,undirected
ChatGPT_15,Jasper_6,1,undirected
ChatGPT_15,Perplexity_13,8,undirected
ChatGPT_15,Perplexity_14,1,undirected
ChatGPT_15,Perplexity_15,22,undirected
ChatGPT_15,Perplexity_35,3,undirected
ChatGPT_16,ChatGPT_11,12,undirected
ChatGPT_16,ChatGPT_18,2,undirected
ChatGPT_16,ChatGPT_21,4,undirected
ChatGPT_16,ChatGPT_3,2,undirected
ChatGPT_16,ChatGPT_4,1,undirected
ChatGPT_16,Perplexity_0,1,undirected
ChatGPT_16,Perplexity_17,4,undirected
ChatGPT_16,Perplexity_26,2,undirected
ChatGPT_16,Perplexity_35,9,undirected
ChatGPT_16,Perplexity_7,4,undirected
ChatGPT_17,ChatGPT_30,3,undirected
ChatGPT_17,ChatGPT_8,3,undirected
ChatGPT_17,Perplexity_0,1,undirected
ChatGPT_17,Perplexity_1,3,undirected
ChatGPT_17,Perplexity_16,2,undirected
ChatGPT_17,Perplexity_27,2,undirected
ChatGPT_17,Perplexity_4,5,undirected
ChatGPT_17,Perplexity_6,5,undirected
ChatGPT_18,ChatGPT_16,2,undirected
ChatGPT_18,ChatGPT_23,9,undirected
ChatGPT_18,ChatGPT_24,1,undirected
ChatGPT_18,ChatGPT_25,1,undirected
ChatGPT_18,ChatGPT_4,9,undirected
ChatGPT_18,Perplexity_14,2,undirected
ChatGPT_18,Perplexity_24,4,undirected
ChatGPT_18,Perplexity_35,1,undirected
ChatGPT_19,ChatGPT_12,5,undirected
ChatGPT_19,ChatGPT_20,23,undirected
ChatGPT_19,ChatGPT_23,2,undirected
ChatGPT_19,ChatGPT_9,2,undirected
ChatGPT_19,Perplexity_20,11,undirected
ChatGPT_19,Perplexity_28,3,undirected
ChatGPT_19,Perplexity_29,1,undirected
ChatGPT_2,ChatGPT_0,7,undirected
ChatGPT_2,ChatGPT_1,14,undirected
ChatGPT_2,Perplexity_0,5,undirected
ChatGPT_2,Perplexity_2,7,undirected
ChatGPT_20,ChatGPT_12,8,undirected
ChatGPT_20,ChatGPT_19,23,undirected
ChatGPT_20,ChatGPT_26,2,undirected
ChatGPT_20,ChatGPT_28,1,undirected
ChatGPT_20,Perplexity_0,2,undirected
ChatGPT_20,Perplexity_12,3,undirected
ChatGPT_20,Perplexity_21,2,undirected
ChatGPT_20,Perplexity_28,4,undirected
ChatGPT_20,Perplexity_30,1,undirected
ChatGPT_21,ChatGPT_11,3,undirected
ChatGPT_21,ChatGPT_16,4,undirected
ChatGPT_21,ChatGPT_4,3,undirected
ChatGPT_21,ChatGPT_6,2,undirected
ChatGPT_21,Jasper_14,1,undirected
ChatGPT_21,Perplexity_0,6,undirected
ChatGPT_21,Perplexity_22,1,undirected
ChatGPT_21,Perplexity_23,22,undirected
ChatGPT_21,Perplexity_25,10,undirected
ChatGPT_21,Perplexity_35,1,undirected
ChatGPT_21,Perplexity_4,1,undirected
ChatGPT_21,Perplexity_6,1,undirected
ChatGPT_22,ChatGPT_12,1,undirected
ChatGPT_22,ChatGPT_27,6,undirected
ChatGPT_22,Jasper_15,14,undirected
ChatGPT_22,Jasper_5,2,undirected
ChatGPT_22,Perplexity_0,4,undirected
ChatGPT_22,Perplexity_24,20,undirected
ChatGPT_22,Perplexity_35,1,undirected
ChatGPT_22,Perplexity_4,2,undirected
ChatGPT_23,ChatGPT_0,1,undirected
ChatGPT_23,ChatGPT_18,9,undirected
ChatGPT_23,ChatGPT_19,2,undirected
ChatGPT_23,ChatGPT_27,4,undirected
ChatGPT_23,Jasper_12,1,undirected
ChatGPT_23,Perplexity_0,5,undirected
ChatGPT_23,Perplexity_24,15,undirected
ChatGPT_23,Perplexity_29,7,undirected
ChatGPT_24,ChatGPT_10,3,undirected
ChatGPT_24,ChatGPT_18,1,undirected
ChatGPT_24,ChatGPT_6,1,undirected
ChatGPT_24,Perplexity_26,17,undirected
ChatGPT_24,Perplexity_27,6,undirected
ChatGPT_24,Perplexity_35,5,undirected
ChatGPT_25,ChatGPT_18,1,undirected
ChatGPT_25,ChatGPT_30,1,undirected
ChatGPT_25,Perplexity_0,2,undirected
ChatGPT_25,Perplexity_16,6,undirected
ChatGPT_25,Perplexity_27,7,undirected
ChatGPT_25,Perplexity_35,9,undirected
ChatGPT_26,ChatGPT_12,15,undirected
ChatGPT_26,ChatGPT_20,2,undirected
ChatGPT_26,Perplexity_0,2,undirected
ChatGPT_26,Perplexity_12,4,undirected
ChatGPT_26,Perplexity_2,2,undirected
ChatGPT_26,Perplexity_22,3,undirected
ChatGPT_26,Perplexity_28,11,undirected
ChatGPT_26,Perplexity_31,1,undirected
ChatGPT_27,ChatGPT_12,2,undirected
ChatGPT_27,ChatGPT_13,1,undirected
ChatGPT_27,ChatGPT_14,1,undirected
ChatGPT_27,ChatGPT_22,6,undirected
ChatGPT_27,ChatGPT_23,4,undirected
ChatGPT_27,ChatGPT_28,12,undirected
ChatGPT_27,Perplexity_29,11,undirected
ChatGPT_27,Perplexity_30,15,undirected
ChatGPT_27,Perplexity_34,1,undirected
ChatGPT_27,Perplexity_35,4,undirected
ChatGPT_28,ChatGPT_14,3,undirected
ChatGPT_28,ChatGPT_20,1,undirected
ChatGPT_28,ChatGPT_27,12,undirected
ChatGPT_28,Jasper_15,5,undirected
ChatGPT_28,Perplexity_0,3,undirected
ChatGPT_28,Perplexity_30,24,undirected
ChatGPT_29,ChatGPT_12,5,undirected
ChatGPT_29,ChatGPT_30,24,undirected
ChatGPT_29,Perplexity_17,2,undirected
ChatGPT_29,Perplexity_31,6,undirected
ChatGPT_29,Perplexity_32,13,undirected
ChatGPT_29,Perplexity_35,1,undirected
ChatGPT_29,Perplexity_9,7,undirected
ChatGPT_3,ChatGPT_0,2,undirected
ChatGPT_3,ChatGPT_12,3,undirected
ChatGPT_3,ChatGPT_16,2,undirected
ChatGPT_3,ChatGPT_30,1,undirected
ChatGPT_3,Perplexity_0,1,undirected
ChatGPT_3,Perplexity_10,1,undirected
ChatGPT_3,Perplexity_2,2,undirected
ChatGPT_3,Perplexity_35,8,undirected
ChatGPT_3,Perplexity_4,4,undirected
ChatGPT_30,ChatGPT_0,1,undirected
ChatGPT_30,ChatGPT_17,3,undirected
ChatGPT_30,ChatGPT_25,1,undirected
ChatGPT_30,ChatGPT_29,24,undirected
ChatGPT_30,ChatGPT_3,1,undirected
ChatGPT_30,Perplexity_0,2,undirected
ChatGPT_30,Perplexity_11,2,undirected
ChatGPT_30,Perplexity_2,1,undirected
ChatGPT_30,Perplexity_31,15,undirected
ChatGPT_30,Perplexity_32,11,undirected
ChatGPT_30,Perplexity_35,1,undirected
ChatGPT_30,Perplexity_5,4,undirected
ChatGPT_30,Perplexity_6,4,undirected
ChatGPT_31,ChatGPT_32,24,undirected
ChatGPT_31,ChatGPT_33,16,undirected
ChatGPT_31,Perplexity_34,1,undirected
ChatGPT_31,Perplexity_35,9,undirected
ChatGPT_32,ChatGPT_31,24,undirected
ChatGPT_32,ChatGPT_33,15,undirected
ChatGPT_32,Perplexity_29,1,undirected
ChatGPT_32,Perplexity_35,4,undirected
ChatGPT_33,ChatGPT_31,16,undirected
ChatGPT_33,ChatGPT_32,15,undirected
ChatGPT_33,Perplexity_35,7,undirected
ChatGPT_4,ChatGPT_0,1,undirected
ChatGPT_4,ChatGPT_10,12,undirected
ChatGPT_4,ChatGPT_16,1,undirected
ChatGPT_4,ChatGPT_18,9,undirected
ChatGPT_4,ChatGPT_21,3,undirected
ChatGPT_4,ChatGPT_9,3,undirected
ChatGPT_4,Jasper_3,6,undirected
ChatGPT_4,Perplexity_10,1,undirected
ChatGPT_4,Perplexity_16,13,undirected
ChatGPT_4,Perplexity_35,3,undirected
ChatGPT_4,Perplexity_4,6,undirected
ChatGPT_4,Perplexity_6,1,undirected
ChatGPT_4,Perplexity_7,1,undirected
