Source,Target,Weight,Type
ChatGPT_0,ChatGPT_2,6,undirected
ChatGPT_0,ChatGPT_26,1,undirected
ChatGPT_0,Perplexity_12,2,undirected
ChatGPT_0,Perplexity_2,2,undirected
ChatGPT_0,Perplexity_22,2,undirected
ChatGPT_1,ChatGPT_2,3,undirected
ChatGPT_1,ChatGPT_3,2,undirected
ChatGPT_1,Perplexity_2,1,undirected
ChatGPT_1,Perplexity_9,6,undirected
ChatGPT_10,ChatGPT_24,5,undirected
ChatGPT_10,ChatGPT_31,1,undirected
ChatGPT_10,ChatGPT_33,2,undirected
ChatGPT_10,ChatGPT_4,2,undirected
ChatGPT_10,Jasper_3,3,undirected
ChatGPT_10,Perplexity_25,1,undirected
ChatGPT_11,ChatGPT_5,1,undirected
ChatGPT_11,Perplexity_17,4,undirected
ChatGPT_11,Perplexity_4,3,undirected
ChatGPT_12,ChatGPT_26,6,undirected
ChatGPT_12,ChatGPT_29,2,undirected
ChatGPT_12,Jasper_12,1,undirected
ChatGPT_12,Perplexity_0,3,undirected
ChatGPT_12,Perplexity_12,1,undirected
ChatGPT_12,Perplexity_2,3,undirected
ChatGPT_12,Perplexity_23,2,undirected
ChatGPT_12,Perplexity_28,5,undirected
ChatGPT_13,ChatGPT_15,3,undirected
ChatGPT_13,Jasper_4,1,undirected
ChatGPT_13,Jasper_6,3,undirected
ChatGPT_13,Jasper_9,2,undirected
ChatGPT_13,Perplexity_15,2,undirected
ChatGPT_14,ChatGPT_23,1,undirected
ChatGPT_14,ChatGPT_27,2,undirected
ChatGPT_14,Perplexity_14,6,undirected
ChatGPT_15,ChatGPT_13,3,undirected
ChatGPT_15,Jasper_6,1,undirected
ChatGPT_15,Perplexity_15,2,undirected
ChatGPT_16,ChatGPT_21,1,undirected
ChatGPT_16,ChatGPT_6,2,undirected
ChatGPT_16,Perplexity_26,3,undirected
ChatGPT_17,ChatGPT_4,2,undirected
ChatGPT_17,ChatGPT_6,1,undirected
ChatGPT_17,Perplexity_27,4,undirected
ChatGPT_18,ChatGPT_25,2,undirected
ChatGPT_18,ChatGPT_4,3,undirected
ChatGPT_18,Perplexity_16,1,undirected
ChatGPT_19,ChatGPT_20,6,undirected
ChatGPT_19,ChatGPT_26,4,undirected
ChatGPT_19,Perplexity_20,4,undirected
ChatGPT_19,Perplexity_29,3,undirected
ChatGPT_2,ChatGPT_0,6,undirected
ChatGPT_2,ChatGPT_1,3,undirected
ChatGPT_2,ChatGPT_30,5,undirected
ChatGPT_20,ChatGPT_19,6,undirected
ChatGPT_20,ChatGPT_26,1,undirected
ChatGPT_20,ChatGPT_28,2,undirected
ChatGPT_20,Perplexity_28,4,undirected
ChatGPT_21,ChatGPT_16,1,undirected
ChatGPT_21,ChatGPT_4,2,undirected
ChatGPT_21,ChatGPT_5,3,undirected
ChatGPT_21,Perplexity_25,3,undirected
ChatGPT_21,Perplexity_4,1,undirected
ChatGPT_22,Jasper_15,3,undirected
ChatGPT_22,Jasper_3,1,undirected
ChatGPT_22,Jasper_5,3,undirected
ChatGPT_23,ChatGPT_14,1,undirected
ChatGPT_23,Jasper_3,1,undirected
ChatGPT_23,Jasper_7,3,undirected
ChatGPT_23,Perplexity_10,2,undirected
ChatGPT_24,ChatGPT_10,5,undirected
ChatGPT_24,ChatGPT_6,2,undirected
ChatGPT_24,Perplexity_26,2,undirected
ChatGPT_25,ChatGPT_18,2,undirected
ChatGPT_25,ChatGPT_4,1,undirected
ChatGPT_25,Jasper_8,2,undirected
ChatGPT_25,Perplexity_16,3,undirected
ChatGPT_26,ChatGPT_0,1,undirected
ChatGPT_26,ChatGPT_12,6,undirected
ChatGPT_26,ChatGPT_19,4,undirected
ChatGPT_26,ChatGPT_20,1,undirected
ChatGPT_26,Perplexity_0,2,undirected
ChatGPT_26,Perplexity_11,2,undirected
ChatGPT_26,Perplexity_17,3,undirected
ChatGPT_26,Perplexity_19,2,undirected
ChatGPT_26,Perplexity_2,2,undirected
ChatGPT_26,Perplexity_20,1,undirected
ChatGPT_26,Perplexity_22,3,undirected
ChatGPT_26,Perplexity_28,1,undirected
ChatGPT_26,Perplexity_31,3,undirected
ChatGPT_26,Perplexity_32,2,undirected
ChatGPT_26,Perplexity_9,2,undirected
ChatGPT_27,ChatGPT_14,2,undirected
ChatGPT_27,Jasper_8,3,undirected
ChatGPT_27,Perplexity_11,2,undirected
ChatGPT_27,Perplexity_6,1,undirected
ChatGPT_28,ChatGPT_20,2,undirected
ChatGPT_28,Jasper_11,1,undirected
ChatGPT_28,Perplexity_30,6,undirected
ChatGPT_29,ChatGPT_12,2,undirected
ChatGPT_29,ChatGPT_30,5,undirected
ChatGPT_29,Perplexity_2,1,undirected
ChatGPT_29,Perplexity_32,1,undirected
ChatGPT_3,ChatGPT_1,2,undirected
ChatGPT_3,Perplexity_11,3,undirected
ChatGPT_3,Perplexity_23,1,undirected
ChatGPT_30,ChatGPT_2,5,undirected
ChatGPT_30,ChatGPT_29,5,undirected
ChatGPT_30,Perplexity_2,1,undirected
ChatGPT_31,ChatGPT_10,1,undirected
ChatGPT_31,ChatGPT_32,6,undirected
ChatGPT_31,Perplexity_35,3,undirected
ChatGPT_32,ChatGPT_31,6,undirected
ChatGPT_32,ChatGPT_6,3,undirected
ChatGPT_32,Perplexity_29,2,undirected
ChatGPT_32,Perplexity_35,3,undirected
ChatGPT_33,ChatGPT_10,2,undirected
ChatGPT_33,ChatGPT_6,1,undirected
ChatGPT_33,Perplexity_35,3,undirected
ChatGPT_4,ChatGPT_10,2,undirected
ChatGPT_4,ChatGPT_17,2,undirected
ChatGPT_4,ChatGPT_18,3,undirected
ChatGPT_4,ChatGPT_21,2,undirected
ChatGPT_4,ChatGPT_25,1,undirected
ChatGPT_4,Perplexity_16,6,undirected
ChatGPT_4,Perplexity_4,2,undirected
ChatGPT_5,ChatGPT_11,1,undirected
ChatGPT_5,ChatGPT_21,3,undirected
ChatGPT_5,ChatGPT_7,4,undirected
ChatGPT_5,ChatGPT_8,2,undirected
ChatGPT_5,ChatGPT_9,3,undirected
ChatGPT_5,Jasper_1,3,undirected
ChatGPT_5,Jasper_2,3,undirected
ChatGPT_5,Jasper_3,2,undirected
ChatGPT_5,Perplexity_18,2,undirected
ChatGPT_5,Perplexity_7,1,undirected
ChatGPT_6,ChatGPT_16,2,undirected
ChatGPT_6,ChatGPT_17,1,undirected
ChatGPT_6,ChatGPT_24,2,undirected
ChatGPT_6,ChatGPT_32,3,undirected
ChatGPT_6,ChatGPT_33,1,undirected
ChatGPT_6,ChatGPT_7,5,undirected
ChatGPT_6,Perplexity_22,1,undirected
ChatGPT_6,Perplexity_26,2,undirected
ChatGPT_6,Perplexity_27,5,undirected
ChatGPT_7,ChatGPT_5,4,undirected
ChatGPT_7,ChatGPT_6,5,undirected
ChatGPT_7,ChatGPT_9,1,undirected
ChatGPT_7,Perplexity_4,1,undirected
ChatGPT_8,ChatGPT_5,2,undirected
ChatGPT_8,Perplexity_6,1,undirected
ChatGPT_8,Perplexity_8,6,undirected
ChatGPT_9,ChatGPT_5,3,undirected
ChatGPT_9,ChatGPT_7,1,undirected
ChatGPT_9,Perplexity_14,1,undirected
ChatGPT_9,Perplexity_6,2,undirected
Jasper_0,Jasper_1,3,undirected
Jasper_0,Jasper_11,1,undirected
Jasper_0,Jasper_12,3,undirected
Jasper_0,Jasper_2,2,undirected
Jasper_0,Jasper_3,2,undirected
Jasper_1,ChatGPT_5,3,undirected
Jasper_1,Jasper_0,3,undirected
Jasper_1,Jasper_11,3,undirected
Jasper_1,Jasper_13,3,undirected
Jasper_1,Jasper_3,3,undirected
Jasper_1,Jasper_4,4,undirected
