"ChatGPT_0" "ChatGPT_1" "ChatGPT_10" "ChatGPT_11" "ChatGPT_12" "ChatGPT_13" "ChatGPT_14" "ChatGPT_15" "ChatGPT_16" "ChatGPT_17" "ChatGPT_18" "ChatGPT_19" "ChatGPT_2" "ChatGPT_20" "ChatGPT_21" "ChatGPT_22" "ChatGPT_23" "ChatGPT_24" "ChatGPT_25" "ChatGPT_26" "ChatGPT_27" "ChatGPT_28" "ChatGPT_29" "ChatGPT_3" "ChatGPT_30" "ChatGPT_31" "ChatGPT_32" "ChatGPT_33" "ChatGPT_4" "ChatGPT_5" "ChatGPT_6" "ChatGPT_7" "ChatGPT_8" "ChatGPT_9" "Jasper_0" "Jasper_1" "Jasper_10" "Jasper_11" "Jasper_12" "Jasper_13" "Jasper_14" "Jasper_15" "Jasper_2" "Jasper_3" "Jasper_4" "Jasper_5" "Jasper_6" "Jasper_7" "Jasper_8" "Jasper_9" "Perplexity_0" "Perplexity_1" "Perplexity_10" "Perplexity_11" "Perplexity_12" "Perplexity_13" "Perplexity_14" "Perplexity_15" "Perplexity_16" "Perplexity_17" "Perplexity_18" "Perplexity_19" "Perplexity_2" "Perplexity_20" "Perplexity_21" "Perplexity_22" "Perplexity_23" "Perplexity_24" "Perplexity_25" "Perplexity_26" "Perplexity_27" "Perplexity_28" "Perplexity_29" "Perplexity_3" "Perplexity_30" "Perplexity_31" "Perplexity_32" "Perplexity_33" "Perplexity_34" "Perplexity_35" "Perplexity_4" "Perplexity_5" "Perplexity_6" "Perplexity_7" "Perplexity_8" "Perplexity_9"
"la" 8 9.84251968503937 5.92334494773519 6.78391959798995 7.61523046092184 4.00763358778626 4.85175202156334 1.48514851485149 5.43478260869565 9.26365795724466 7.49354005167959 9.59097320169252 9.12408759124088 6.42458100558659 9.89010989010989 2.41691842900302 2.86532951289398 5.52147239263804 7.3469387755102 10.7456140350877 3.57142857142857 3.15126050420168 6.97115384615385 9.14634146341463 10.4408352668213 1.92307692307692 2.5089605734767 4.5016077170418 8.37155963302752 8.31234256926952 7.49063670411985 7.10172744721689 7.98319327731092 9.3812375249501 4.95575221238938 4.79505027068832 6.29770992366412 4.88958990536278 5.20833333333333 6.08365019011407 4.12844036697248 0.890207715133531 8.06100217864924 4.67557251908397 4.31328036322361 4.88165680473373 3.93900889453621 4.47470817120623 4.27046263345196 3.93900889453621 7.80141843971631 10.126582278481 7.25552050473186 8.07174887892377 6.92520775623269 3.6231884057971 6.38686131386861 2.85714285714286 7.26495726495726 5.80110497237569 6.47668393782383 8.67158671586716 10.2389078498294 10.1293103448276 6.26959247648903 6.63780663780664 6.76229508196721 4.48179271708683 7.15596330275229 6.79012345679012 8.45070422535211 6.96629213483146 1.17302052785924 7.85714285714286 1.4336917562724 8.96057347670251 8.35443037974684 4.3859649122807 5.88235294117647 5.57184750733138 5.83333333333333 6.49350649350649 5.4421768707483 6.08519269776876 8.37789661319073 10.3542234332425
"de" 7.85714285714286 9.84251968503937 5.74912891986063 7.28643216080402 6.41282565130261 4.38931297709924 7.54716981132075 3.96039603960396 4.34782608695652 13.3016627078385 6.97674418604651 7.6163610719323 8.39416058394161 5.58659217877095 6.95970695970696 4.83383685800604 6.01719197707736 8.38445807770961 6.93877551020408 7.23684210526316 7.61904761904762 5.04201680672269 4.56730769230769 7.72357723577236 6.49651972157773 4.61538461538461 4.6594982078853 5.14469453376206 7.68348623853211 5.03778337531486 5.61797752808989 3.6468330134357 7.77310924369748 5.58882235528942 6.72566371681416 5.10440835266821 3.62595419847328 5.83596214511041 5.46875 6.08365019011407 5.96330275229358 5.04451038575668 5.88235294117647 4.86641221374046 4.19977298524404 4.88165680473373 4.8284625158831 5.44747081712062 6.76156583629893 4.8284625158831 8.15602836879433 9.28270042194093 6.30914826498423 7.39910313901345 4.98614958448753 4.10628019323671 5.83941605839416 5.45454545454545 4.7008547008547 6.07734806629834 6.21761658031088 8.11808118081181 6.8259385665529 6.46551724137931 3.76175548589342 6.78210678210678 3.27868852459016 7.00280112044818 7.3394495412844 3.7037037037037 6.33802816901408 6.51685393258427 8.50439882697947 5.71428571428571 3.2258064516129 5.01792114695341 3.79746835443038 4.3859649122807 3.67647058823529 4.98533724340176 6.04166666666667 7.01298701298701 5.4421768707483 4.46247464503043 7.30837789661319 6.26702997275204
"y" 5.42857142857143 5.11811023622047 8.18815331010453 3.51758793969849 5.41082164328657 3.81679389312977 4.31266846361186 2.22772277227723 2.71739130434783 2.37529691211401 4.1343669250646 6.91114245416079 6.56934306569343 10.6145251396648 4.94505494505495 5.13595166163142 5.15759312320917 4.29447852760736 5.30612244897959 5.26315789473684 4.28571428571429 2.94117647058824 6.49038461538461 3.45528455284553 5.33642691415313 6.15384615384615 5.01792114695341 8.36012861736334 5.73394495412844 4.03022670025189 4.68164794007491 6.33397312859885 2.73109243697479 3.99201596806387 3.89380530973451 3.09358081979892 3.62595419847328 2.52365930599369 3.125 2.09125475285171 1.14678899082569 2.07715133531157 3.48583877995643 2.38549618320611 2.1566401816118 2.66272189349112 2.79542566709022 2.14007782101167 3.73665480427046 2.79542566709022 5.14184397163121 2.53164556962025 5.36277602523659 5.60538116591928 4.43213296398892 4.10628019323671 3.83211678832117 2.85714285714286 5.76923076923077 3.03867403314917 5.69948186528497 2.39852398523985 4.77815699658703 5.17241379310345 4.07523510971787 5.77200577200577 3.48360655737705 3.92156862745098 2.75229357798165 6.17283950617284 5.63380281690141 8.98876404494382 2.93255131964809 4.64285714285714 2.8673835125448 5.37634408602151 4.55696202531646 5.26315789473684 5.88235294117647 5.86510263929619 4.375 5.71428571428571 3.6281179138322 6.69371196754564 4.63458110516934 5.3133514986376
"en" 4.42857142857143 3.1496062992126 3.83275261324042 1.50753768844221 3.0060120240481 3.24427480916031 2.15633423180593 3.21782178217822 5.16304347826087 2.85035629453682 4.39276485788114 2.82087447108604 5.10948905109489 1.67597765363128 4.57875457875458 3.02114803625378 2.00573065902579 4.49897750511247 4.48979591836735 3.07017543859649 2.14285714285714 2.73109243697479 3.36538461538462 3.65853658536585 6.72853828306264 5 4.3010752688172 3.85852090032154 4.81651376146789 3.77833753148615 4.8689138576779 2.49520153550864 3.57142857142857 4.19161676646707 2.47787610619469 2.16550657385924 5.15267175572519 1.89274447949527 2.60416666666667 2.66159695817491 3.44036697247706 1.48367952522255 2.39651416122004 2.19465648854962 1.8161180476731 1.62721893491124 1.52477763659466 1.94552529182879 2.31316725978648 1.52477763659466 2.12765957446809 5.48523206751055 1.73501577287066 3.1390134529148 2.49307479224377 3.38164251207729 3.1021897810219 3.8961038961039 4.7008547008547 3.03867403314917 3.8860103626943 5.71955719557196 6.14334470989761 4.52586206896552 6.58307210031348 4.61760461760462 5.5327868852459 1.96078431372549 6.78899082568807 5.55555555555556 5.39906103286385 2.69662921348315 1.75953079178886 3.21428571428571 2.1505376344086 1.7921146953405 3.54430379746835 7.01754385964912 7.35294117647059 4.69208211143695 1.45833333333333 1.81818181818182 3.6281179138322 4.05679513184584 2.49554367201426 3.54223433242507
"moda" 3.85714285714286 4.7244094488189 2.61324041811847 4.52261306532663 2.80561122244489 1.14503816793893 0 0 2.71739130434783 1.90023752969121 2.84237726098191 3.52609308885755 5.10948905109489 4.18994413407821 3.11355311355311 0.906344410876133 1.71919770773639 3.47648261758691 3.6734693877551 3.07017543859649 2.14285714285714 0 3.125 6.09756097560976 4.87238979118329 0.769230769230769 0.716845878136201 2.2508038585209 2.63761467889908 3.5264483627204 2.62172284644195 3.45489443378119 2.73109243697479 2.59481037924152 2.30088495575221 2.16550657385924 0.763358778625954 2.99684542586751 3.125 3.61216730038023 2.06422018348624 0 3.26797385620915 2.29007633587786 1.70261066969353 1.4792899408284 1.77890724269377 1.94552529182879 1.95729537366548 1.77890724269377 3.19148936170213 4.21940928270042 4.88958990536278 4.26008968609866 3.32409972299169 1.20772946859903 0 0 2.13675213675214 2.48618784530387 3.8860103626943 0.553505535055351 4.77815699658703 4.95689655172414 4.07523510971787 3.75180375180375 3.48360655737705 1.68067226890756 2.20183486238532 3.39506172839506 3.9906103286385 3.14606741573034 0 4.28571428571429 0 6.09318996415771 4.30379746835443 2.63157894736842 2.94117647058824 3.51906158357771 3.95833333333333 4.41558441558442 2.72108843537415 3.44827586206897 3.20855614973262 4.08719346049046
"que" 1.57142857142857 1.18110236220472 2.26480836236934 3.76884422110553 3.80761523046092 2.29007633587786 2.15633423180593 2.97029702970297 5.43478260869565 1.42517814726841 2.58397932816537 1.12834978843441 1.82481751824818 1.11731843575419 2.74725274725275 3.02114803625378 2.29226361031519 1.02249488752556 1.22448979591837 3.28947368421053 1.66666666666667 1.47058823529412 3.125 2.64227642276423 2.08816705336427 3.84615384615385 3.2258064516129 2.2508038585209 2.40825688073395 2.51889168765743 2.24719101123596 3.45489443378119 1.89075630252101 2.59481037924152 2.83185840707965 1.7014694508894 1.14503816793893 1.41955835962145 2.08333333333333 2.47148288973384 2.75229357798165 2.67062314540059 2.39651416122004 1.81297709923664 1.47559591373439 1.62721893491124 2.54129606099111 3.50194552529183 0.889679715302491 2.54129606099111 4.07801418439716 2.10970464135021 2.6813880126183 2.01793721973094 1.66204986149584 5.31400966183575 3.64963503649635 1.55844155844156 2.77777777777778 3.86740331491713 3.10880829015544 2.02952029520295 2.04778156996587 0.21551724137931 1.56739811912226 2.88600288600289 5.5327868852459 3.0812324929972 0.36697247706422 1.23456790123457 1.87793427230047 1.79775280898876 3.51906158357771 2.5 0.3584229390681 2.1505376344086 1.77215189873418 5.26315789473684 4.41176470588235 2.93255131964809 2.91666666666667 1.03896103896104 1.8140589569161 2.6369168356998 2.49554367201426 2.45231607629428
"el" 0.571428571428571 1.18110236220472 2.78745644599303 2.76381909547739 0.801603206412826 2.86259541984733 0.808625336927224 2.22772277227723 2.98913043478261 1.66270783847981 1.29198966408269 1.12834978843441 0 0.558659217877095 2.93040293040293 1.81268882175227 0.573065902578797 2.04498977505112 2.44897959183673 1.31578947368421 2.14285714285714 2.94117647058824 0.480769230769231 2.23577235772358 1.16009280742459 0.769230769230769 1.7921146953405 1.92926045016077 2.40825688073395 2.51889168765743 2.43445692883895 1.53550863723608 5.04201680672269 0.798403193612774 1.76991150442478 2.62954369682908 3.05343511450382 1.89274447949527 1.5625 5.32319391634981 3.44036697247706 2.37388724035608 2.17864923747277 2.67175572519084 3.9727582292849 2.36686390532544 2.79542566709022 2.91828793774319 4.80427046263345 2.79542566709022 0.354609929078014 2.9535864978903 1.89274447949527 2.01793721973094 1.93905817174515 3.38164251207729 0 3.8961038961039 2.35042735042735 2.20994475138122 2.59067357512953 0.738007380073801 1.70648464163823 2.80172413793103 4.07523510971787 1.2987012987013 3.07377049180328 1.40056022408964 1.8348623853211 3.39506172839506 4.22535211267606 1.57303370786517 0 1.07142857142857 3.2258064516129 1.4336917562724 0.253164556962025 0 0 1.75953079178886 2.70833333333333 2.33766233766234 2.72108843537415 2.43407707910751 5.16934046345811 0.408719346049046
"los" 0.714285714285714 0 0.696864111498258 1.50753768844221 0.801603206412826 0.572519083969466 1.07816711590296 1.48514851485149 1.90217391304348 0.950118764845606 2.0671834625323 1.83356840620592 0.364963503649635 0.558659217877095 1.46520146520147 0.302114803625378 0.286532951289398 1.22699386503067 0 1.09649122807018 0.476190476190476 0.630252100840336 1.20192307692308 1.01626016260163 0.464037122969838 0 0 0 1.37614678899083 1.25944584382872 1.12359550561798 1.91938579654511 0.420168067226891 1.39720558882236 2.12389380530973 1.93348801237432 1.90839694656489 3.78548895899054 4.94791666666667 1.90114068441065 4.12844036697248 1.78041543026706 0.871459694989107 2.5763358778626 1.70261066969353 2.2189349112426 2.41423125794155 1.94552529182879 3.20284697508897 2.41423125794155 4.07801418439716 1.26582278481013 1.73501577287066 1.34529147982063 0.554016620498615 0.72463768115942 2.00729927007299 1.03896103896104 1.92307692307692 2.48618784530387 2.33160621761658 2.9520295202952 2.04778156996587 0.646551724137931 0.313479623824451 0.288600288600289 2.66393442622951 0 2.75229357798165 0.308641975308642 1.17370892018779 1.79775280898876 0 0.714285714285714 1.4336917562724 0.716845878136201 0.759493670886076 0 0 0.586510263929619 0.833333333333333 0.519480519480519 0.680272108843537 2.23123732251521 0.89126559714795 1.36239782016349
"para" 0.714285714285714 0.393700787401575 0.871080139372822 0.50251256281407 2.00400801603206 1.52671755725191 0.539083557951482 1.73267326732673 2.17391304347826 0.475059382422803 0.258397932816537 1.55148095909732 0 2.51396648044693 0.549450549450549 1.81268882175227 1.14613180515759 0.613496932515337 0.816326530612245 1.31578947368421 2.14285714285714 3.15126050420168 2.16346153846154 0.609756097560976 1.16009280742459 0 1.4336917562724 0.964630225080386 0.458715596330275 2.26700251889169 1.49812734082397 1.34357005758157 1.68067226890756 1.19760479041916 2.47787610619469 2.70688321732405 0.381679389312977 3.15457413249211 1.30208333333333 0.570342205323194 1.8348623853211 1.78041543026706 2.39651416122004 2.19465648854962 2.83768444948922 2.07100591715976 2.54129606099111 1.55642023346304 2.49110320284698 2.54129606099111 0.709219858156028 0.421940928270042 0.946372239747634 1.5695067264574 1.10803324099723 2.17391304347826 1.45985401459854 2.5974025974026 0.427350427350427 0.828729281767956 1.55440414507772 0.553505535055351 1.70648464163823 0.646551724137931 0.940438871473354 0.721500721500722 0.614754098360656 1.68067226890756 0.55045871559633 1.54320987654321 0.704225352112676 1.34831460674157 2.93255131964809 0.714285714285714 4.6594982078853 1.4336917562724 1.77215189873418 0.87719298245614 0.735294117647059 0.586510263929619 0.416666666666667 1.55844155844156 1.58730158730159 1.01419878296146 0.89126559714795 0.817438692098093
"las" 1.14285714285714 0.78740157480315 0.522648083623693 2.01005025125628 4.60921843687375 2.29007633587786 2.69541778975741 2.22772277227723 1.90217391304348 0.950118764845606 0.516795865633075 3.52609308885755 0 1.67597765363128 1.28205128205128 0.604229607250755 0.286532951289398 1.22699386503067 0.816326530612245 1.75438596491228 0.238095238095238 0 0.480769230769231 1.01626016260163 0.928074245939675 1.15384615384615 1.7921146953405 0.964630225080386 0.802752293577982 1.25944584382872 1.87265917602996 1.53550863723608 1.26050420168067 0.798403193612774 0.530973451327434 1.00541376643465 0.954198473282443 2.05047318611987 2.08333333333333 2.28136882129278 1.14678899082569 0.890207715133531 0.65359477124183 0.954198473282443 1.36208853575482 0.739644970414201 1.90597204574333 1.36186770428016 0.355871886120996 1.90597204574333 4.43262411347518 2.10970464135021 0.788643533123028 1.12107623318386 2.21606648199446 1.93236714975845 2.37226277372263 3.8961038961039 1.4957264957265 2.76243093922652 0.77720207253886 2.76752767527675 0.68259385665529 0.21551724137931 1.56739811912226 2.16450216450216 1.4344262295082 0.560224089635854 2.01834862385321 1.85185185185185 1.87793427230047 3.59550561797753 0 0.357142857142857 0 0.3584229390681 0.253164556962025 0.87719298245614 0 1.17302052785924 1.04166666666667 1.2987012987013 1.58730158730159 1.41987829614604 1.60427807486631 1.36239782016349
