Source,Target,Weight,Type
chatbot_0,chatbot_1,5,undirected
chatbot_0,chatbot_2,4,undirected
chatbot_0,chatbot_28,1,undirected
chatbot_0,chatbot_33,1,undirected
chatbot_0,chatbot_4,1,undirected
chatbot_0,human_214,1,undirected
chatbot_1,chatbot_0,5,undirected
chatbot_1,chatbot_19,3,undirected
chatbot_1,chatbot_2,6,undirected
chatbot_1,chatbot_21,1,undirected
chatbot_1,human_27,1,undirected
chatbot_10,chatbot_18,1,undirected
chatbot_10,chatbot_3,5,undirected
chatbot_10,chatbot_4,6,undirected
chatbot_10,chatbot_6,2,undirected
chatbot_11,chatbot_12,3,undirected
chatbot_11,chatbot_4,2,undirected
chatbot_11,chatbot_5,2,undirected
chatbot_11,chatbot_6,3,undirected
chatbot_12,chatbot_11,3,undirected
chatbot_12,human_22,1,undirected
chatbot_12,human_40,2,undirected
chatbot_13,chatbot_15,1,undirected
chatbot_13,chatbot_17,3,undirected
chatbot_13,human_71,2,undirected
chatbot_14,human_161,3,undirected
chatbot_14,human_20,2,undirected
chatbot_14,human_46,1,undirected
chatbot_15,chatbot_13,1,undirected
chatbot_15,chatbot_7,2,undirected
chatbot_15,human_240,1,undirected
chatbot_15,human_84,3,undirected
chatbot_16,chatbot_27,3,undirected
chatbot_16,chatbot_3,5,undirected
chatbot_16,chatbot_6,1,undirected
chatbot_17,chatbot_13,3,undirected
chatbot_17,chatbot_22,1,undirected
chatbot_17,human_119,2,undirected
chatbot_17,human_19,3,undirected
chatbot_18,chatbot_10,1,undirected
chatbot_18,chatbot_24,6,undirected
chatbot_18,chatbot_5,2,undirected
chatbot_19,chatbot_1,3,undirected
chatbot_19,human_109,2,undirected
chatbot_19,human_120,1,undirected
chatbot_2,chatbot_0,4,undirected
chatbot_2,chatbot_1,6,undirected
chatbot_2,chatbot_25,1,undirected
chatbot_2,human_237,1,undirected
chatbot_20,chatbot_21,2,undirected
chatbot_20,chatbot_28,3,undirected
chatbot_20,human_40,1,undirected
chatbot_21,chatbot_1,1,undirected
chatbot_21,chatbot_20,2,undirected
chatbot_21,chatbot_27,5,undirected
chatbot_21,human_124,2,undirected
chatbot_22,chatbot_17,1,undirected
chatbot_22,chatbot_26,4,undirected
chatbot_22,chatbot_27,3,undirected
chatbot_22,chatbot_28,1,undirected
chatbot_23,chatbot_7,6,undirected
chatbot_23,human_17,1,undirected
chatbot_23,human_234,2,undirected
chatbot_24,chatbot_18,6,undirected
chatbot_24,chatbot_29,3,undirected
chatbot_24,chatbot_5,1,undirected
chatbot_24,human_207,2,undirected
chatbot_25,chatbot_2,1,undirected
chatbot_25,chatbot_28,3,undirected
chatbot_25,human_234,2,undirected
chatbot_26,chatbot_22,4,undirected
chatbot_26,chatbot_27,6,undirected
chatbot_26,chatbot_35,3,undirected
chatbot_27,chatbot_16,3,undirected
chatbot_27,chatbot_21,5,undirected
chatbot_27,chatbot_22,3,undirected
chatbot_27,chatbot_26,6,undirected
chatbot_27,chatbot_8,1,undirected
chatbot_28,chatbot_0,1,undirected
chatbot_28,chatbot_20,3,undirected
chatbot_28,chatbot_22,1,undirected
chatbot_28,chatbot_25,3,undirected
chatbot_28,chatbot_35,1,undirected
chatbot_28,chatbot_7,2,undirected
chatbot_28,human_203,3,undirected
chatbot_28,human_45,2,undirected
chatbot_29,chatbot_24,3,undirected
chatbot_29,human_16,2,undirected
chatbot_29,human_68,1,undirected
chatbot_3,chatbot_10,5,undirected
chatbot_3,chatbot_16,5,undirected
chatbot_3,chatbot_34,1,undirected
chatbot_3,chatbot_4,1,undirected
chatbot_3,chatbot_9,3,undirected
chatbot_30,human_34,2,undirected
chatbot_30,human_44,3,undirected
chatbot_30,human_45,1,undirected
chatbot_31,chatbot_32,5,undirected
chatbot_31,human_109,1,undirected
chatbot_31,human_152,3,undirected
chatbot_32,chatbot_31,5,undirected
chatbot_32,human_109,1,undirected
chatbot_32,human_152,2,undirected
chatbot_33,chatbot_0,1,undirected
chatbot_33,chatbot_34,6,undirected
chatbot_33,chatbot_35,2,undirected
chatbot_34,chatbot_3,1,undirected
chatbot_34,chatbot_33,6,undirected
chatbot_34,chatbot_35,2,undirected
chatbot_35,chatbot_26,3,undirected
chatbot_35,chatbot_28,1,undirected
chatbot_35,chatbot_33,2,undirected
chatbot_35,chatbot_34,2,undirected
chatbot_35,chatbot_4,3,undirected
chatbot_4,chatbot_0,1,undirected
chatbot_4,chatbot_10,6,undirected
chatbot_4,chatbot_11,2,undirected
chatbot_4,chatbot_3,1,undirected
chatbot_4,chatbot_35,3,undirected
chatbot_4,chatbot_6,5,undirected
chatbot_5,chatbot_11,2,undirected
chatbot_5,chatbot_18,2,undirected
chatbot_5,chatbot_24,1,undirected
chatbot_5,chatbot_6,2,undirected
chatbot_5,human_152,3,undirected
chatbot_6,chatbot_10,2,undirected
chatbot_6,chatbot_11,3,undirected
chatbot_6,chatbot_16,1,undirected
chatbot_6,chatbot_4,5,undirected
chatbot_6,chatbot_5,2,undirected
chatbot_6,human_0,2,undirected
chatbot_7,chatbot_15,2,undirected
chatbot_7,chatbot_23,6,undirected
chatbot_7,chatbot_28,2,undirected
chatbot_7,chatbot_8,4,undirected
chatbot_8,chatbot_27,1,undirected
chatbot_8,chatbot_7,4,undirected
