Source,Target,Weight,Type
chatbot_0,chatbot_1,1,undirected
chatbot_0,chatbot_2,5,undirected
chatbot_0,human_141,1,undirected
chatbot_0,human_174,3,undirected
chatbot_0,human_180,4,undirected
chatbot_0,human_232,2,undirected
chatbot_0,human_26,1,undirected
chatbot_0,human_84,3,undirected
chatbot_0,human_91,1,undirected
chatbot_1,chatbot_0,1,undirected
chatbot_1,chatbot_2,3,undirected
chatbot_1,human_29,5,undirected
chatbot_10,chatbot_16,1,undirected
chatbot_10,chatbot_18,2,undirected
chatbot_10,chatbot_27,2,undirected
chatbot_10,chatbot_3,2,undirected
chatbot_10,chatbot_4,2,undirected
chatbot_10,chatbot_6,6,undirected
chatbot_10,chatbot_7,1,undirected
chatbot_11,chatbot_13,3,undirected
chatbot_11,chatbot_19,2,undirected
chatbot_11,chatbot_6,3,undirected
chatbot_11,human_71,1,undirected
chatbot_12,human_176,4,undirected
chatbot_12,human_197,1,undirected
chatbot_12,human_201,2,undirected
chatbot_13,chatbot_11,3,undirected
chatbot_13,chatbot_17,2,undirected
chatbot_13,human_162,1,undirected
chatbot_14,chatbot_30,2,undirected
chatbot_14,chatbot_33,1,undirected
chatbot_14,human_161,3,undirected
chatbot_15,chatbot_21,1,undirected
chatbot_15,chatbot_7,2,undirected
chatbot_15,human_206,3,undirected
chatbot_16,chatbot_10,1,undirected
chatbot_16,chatbot_27,3,undirected
chatbot_16,chatbot_7,2,undirected
chatbot_17,chatbot_13,2,undirected
chatbot_17,chatbot_18,1,undirected
chatbot_17,chatbot_4,3,undirected
chatbot_17,chatbot_7,1,undirected
chatbot_17,chatbot_9,3,undirected
chatbot_17,human_149,1,undirected
chatbot_17,human_195,3,undirected
chatbot_17,human_206,2,undirected
chatbot_17,human_211,1,undirected
chatbot_17,human_65,3,undirected
chatbot_18,chatbot_10,2,undirected
chatbot_18,chatbot_17,1,undirected
chatbot_18,chatbot_24,5,undirected
chatbot_19,chatbot_11,2,undirected
