Source,Target,Weight,Type
chatbot_0,chatbot_1,6,undirected
chatbot_0,chatbot_2,24,undirected
chatbot_0,human_109,10,undirected
chatbot_0,human_124,1,undirected
chatbot_0,human_141,1,undirected
chatbot_0,human_174,5,undirected
chatbot_0,human_180,2,undirected
chatbot_0,human_203,1,undirected
chatbot_0,human_214,6,undirected
chatbot_0,human_220,3,undirected
chatbot_0,human_237,4,undirected
chatbot_0,human_28,1,undirected
chatbot_0,human_50,1,undirected
chatbot_0,human_69,3,undirected
chatbot_0,human_84,5,undirected
chatbot_0,human_91,1,undirected
chatbot_1,chatbot_0,6,undirected
chatbot_1,chatbot_2,16,undirected
chatbot_1,human_206,3,undirected
chatbot_1,human_29,5,undirected
chatbot_1,human_50,1,undirected
chatbot_1,human_91,1,undirected
chatbot_10,chatbot_16,7,undirected
chatbot_10,chatbot_17,2,undirected
chatbot_10,chatbot_18,7,undirected
chatbot_10,chatbot_22,12,undirected
chatbot_10,chatbot_3,13,undirected
chatbot_10,chatbot_4,18,undirected
chatbot_10,chatbot_6,13,undirected
chatbot_10,chatbot_7,2,undirected
chatbot_11,chatbot_12,5,undirected
chatbot_11,chatbot_13,5,undirected
chatbot_11,chatbot_19,1,undirected
chatbot_11,chatbot_5,1,undirected
chatbot_11,chatbot_6,12,undirected
chatbot_11,chatbot_7,6,undirected
chatbot_11,human_71,3,undirected
chatbot_11,human_84,2,undirected
chatbot_12,chatbot_11,5,undirected
chatbot_12,chatbot_13,7,undirected
chatbot_12,chatbot_19,2,undirected
chatbot_12,chatbot_2,3,undirected
chatbot_12,chatbot_28,10,undirected
chatbot_12,human_176,8,undirected
chatbot_12,human_28,6,undirected
chatbot_13,chatbot_11,5,undirected
chatbot_13,chatbot_12,7,undirected
chatbot_13,chatbot_15,5,undirected
chatbot_13,chatbot_19,4,undirected
chatbot_13,human_162,3,undirected
chatbot_14,chatbot_17,4,undirected
chatbot_14,chatbot_19,6,undirected
chatbot_14,chatbot_30,3,undirected
chatbot_14,human_206,4,undirected
chatbot_14,human_28,7,undirected
chatbot_15,chatbot_13,5,undirected
chatbot_15,chatbot_2,3,undirected
chatbot_15,chatbot_21,3,undirected
chatbot_15,chatbot_35,6,undirected
chatbot_15,chatbot_7,13,undirected
chatbot_15,human_206,3,undirected
chatbot_15,human_28,1,undirected
chatbot_16,chatbot_10,7,undirected
chatbot_16,chatbot_27,5,undirected
chatbot_16,chatbot_3,5,undirected
chatbot_16,chatbot_6,6,undirected
chatbot_16,chatbot_7,4,undirected
chatbot_17,chatbot_10,2,undirected
chatbot_17,chatbot_14,4,undirected
chatbot_17,chatbot_18,11,undirected
chatbot_17,chatbot_19,2,undirected
chatbot_17,chatbot_22,9,undirected
chatbot_17,chatbot_23,2,undirected
chatbot_17,chatbot_4,3,undirected
chatbot_17,chatbot_7,6,undirected
chatbot_17,chatbot_9,2,undirected
chatbot_17,human_195,3,undirected
chatbot_17,human_206,6,undirected
chatbot_17,human_211,2,undirected
chatbot_17,human_28,2,undirected
chatbot_17,human_65,3,undirected
chatbot_18,chatbot_10,7,undirected
chatbot_18,chatbot_17,11,undirected
chatbot_18,chatbot_23,2,undirected
chatbot_18,chatbot_24,2,undirected
chatbot_18,chatbot_25,3,undirected
chatbot_19,chatbot_11,1,undirected
chatbot_19,chatbot_12,2,undirected
chatbot_19,chatbot_13,4,undirected
chatbot_19,chatbot_14,6,undirected
chatbot_19,chatbot_17,2,undirected
chatbot_19,chatbot_2,2,undirected
chatbot_19,chatbot_20,2,undirected
chatbot_19,chatbot_23,3,undirected
chatbot_19,chatbot_28,9,undirected
chatbot_19,chatbot_35,4,undirected
chatbot_19,chatbot_5,6,undirected
chatbot_19,chatbot_7,2,undirected
chatbot_19,chatbot_8,4,undirected
chatbot_19,human_114,5,undirected
chatbot_19,human_123,3,undirected
chatbot_19,human_139,6,undirected
chatbot_19,human_142,5,undirected
chatbot_19,human_152,2,undirected
chatbot_19,human_165,2,undirected
chatbot_19,human_17,3,undirected
chatbot_19,human_196,1,undirected
chatbot_19,human_203,5,undirected
chatbot_19,human_206,11,undirected
chatbot_19,human_209,3,undirected
chatbot_19,human_218,2,undirected
chatbot_19,human_225,3,undirected
chatbot_19,human_227,2,undirected
chatbot_19,human_28,7,undirected
chatbot_19,human_3,3,undirected
chatbot_19,human_54,1,undirected
chatbot_19,human_56,1,undirected
chatbot_19,human_59,6,undirected
chatbot_19,human_68,2,undirected
chatbot_19,human_87,1,undirected
chatbot_19,human_88,5,undirected
chatbot_19,human_9,1,undirected
chatbot_2,chatbot_0,24,undirected
chatbot_2,chatbot_1,16,undirected
chatbot_2,chatbot_12,3,undirected
chatbot_2,chatbot_15,3,undirected
chatbot_2,chatbot_19,2,undirected
chatbot_2,chatbot_25,12,undirected
chatbot_2,chatbot_28,1,undirected
chatbot_2,chatbot_35,4,undirected
chatbot_2,chatbot_5,2,undirected
chatbot_2,chatbot_6,2,undirected
chatbot_2,chatbot_9,9,undirected
chatbot_2,human_106,1,undirected
chatbot_2,human_138,1,undirected
chatbot_2,human_141,3,undirected
chatbot_2,human_147,3,undirected
chatbot_2,human_148,1,undirected
chatbot_2,human_165,1,undirected
chatbot_2,human_183,3,undirected
chatbot_2,human_206,10,undirected
chatbot_2,human_211,2,undirected
chatbot_2,human_220,1,undirected
chatbot_2,human_222,1,undirected
chatbot_2,human_224,4,undirected
chatbot_2,human_233,6,undirected
chatbot_2,human_234,1,undirected
chatbot_2,human_63,5,undirected
chatbot_2,human_71,7,undirected
chatbot_2,human_84,1,undirected
chatbot_2,human_98,5,undirected
chatbot_20,chatbot_19,2,undirected
chatbot_20,chatbot_24,6,undirected
chatbot_20,chatbot_25,2,undirected
chatbot_20,chatbot_28,12,undirected
chatbot_20,human_206,6,undirected
chatbot_20,human_28,5,undirected
chatbot_21,chatbot_15,3,undirected
chatbot_21,chatbot_22,1,undirected
chatbot_21,chatbot_35,3,undirected
chatbot_21,human_133,3,undirected
chatbot_21,human_206,8,undirected
chatbot_21,human_28,6,undirected
chatbot_21,human_63,5,undirected
chatbot_22,chatbot_10,12,undirected
chatbot_22,chatbot_17,9,undirected
chatbot_22,chatbot_21,1,undirected
chatbot_22,chatbot_26,20,undirected
chatbot_22,chatbot_27,9,undirected
chatbot_22,chatbot_3,8,undirected
chatbot_23,chatbot_17,2,undirected
chatbot_23,chatbot_18,2,undirected
chatbot_23,chatbot_19,3,undirected
chatbot_23,human_120,3,undirected
chatbot_23,human_132,1,undirected
chatbot_23,human_160,2,undirected
chatbot_23,human_206,8,undirected
chatbot_23,human_88,5,undirected
chatbot_24,chatbot_18,2,undirected
chatbot_24,chatbot_20,6,undirected
chatbot_24,chatbot_25,12,undirected
chatbot_24,human_133,2,undirected
chatbot_24,human_206,1,undirected
chatbot_24,human_207,2,undirected
chatbot_25,chatbot_18,3,undirected
chatbot_25,chatbot_2,12,undirected
chatbot_25,chatbot_20,2,undirected
chatbot_25,chatbot_24,12,undirected
chatbot_25,chatbot_27,4,undirected
chatbot_25,chatbot_29,3,undirected
chatbot_25,human_234,2,undirected
chatbot_25,human_28,4,undirected
chatbot_26,chatbot_22,20,undirected
chatbot_26,chatbot_27,24,undirected
chatbot_26,chatbot_35,4,undirected
chatbot_27,chatbot_16,5,undirected
chatbot_27,chatbot_22,9,undirected
chatbot_27,chatbot_25,4,undirected
chatbot_27,chatbot_26,24,undirected
chatbot_27,chatbot_3,1,undirected
chatbot_27,chatbot_7,12,undirected
chatbot_27,human_130,2,undirected
chatbot_28,chatbot_12,10,undirected
chatbot_28,chatbot_19,9,undirected
chatbot_28,chatbot_2,1,undirected
chatbot_28,chatbot_20,12,undirected
chatbot_28,human_109,5,undirected
chatbot_28,human_187,2,undirected
chatbot_28,human_28,9,undirected
chatbot_28,human_63,6,undirected
chatbot_29,chatbot_25,3,undirected
chatbot_29,chatbot_33,1,undirected
chatbot_29,chatbot_34,8,undirected
chatbot_29,chatbot_35,2,undirected
chatbot_29,human_125,3,undirected
chatbot_29,human_206,1,undirected
chatbot_29,human_72,6,undirected
chatbot_3,chatbot_10,13,undirected
chatbot_3,chatbot_16,5,undirected
chatbot_3,chatbot_22,8,undirected
chatbot_3,chatbot_27,1,undirected
chatbot_30,chatbot_14,3,undirected
chatbot_30,human_10,2,undirected
chatbot_30,human_202,2,undirected
chatbot_30,human_206,1,undirected
chatbot_30,human_23,2,undirected
chatbot_30,human_28,6,undirected
chatbot_30,human_33,1,undirected
chatbot_30,human_34,2,undirected
chatbot_30,human_44,16,undirected
chatbot_30,human_46,1,undirected
chatbot_31,chatbot_32,4,undirected
chatbot_31,human_109,12,undirected
chatbot_31,human_133,6,undirected
chatbot_31,human_152,2,undirected
chatbot_31,human_28,3,undirected
chatbot_31,human_44,1,undirected
chatbot_32,chatbot_31,4,undirected
chatbot_32,human_206,11,undirected
chatbot_32,human_234,3,undirected
chatbot_32,human_237,6,undirected
chatbot_33,chatbot_29,1,undirected
chatbot_33,chatbot_34,24,undirected
chatbot_33,chatbot_35,3,undirected
chatbot_33,human_201,1,undirected
chatbot_33,human_206,6,undirected
chatbot_33,human_28,2,undirected
chatbot_34,chatbot_29,8,undirected
chatbot_34,chatbot_33,24,undirected
chatbot_34,human_133,1,undirected
chatbot_34,human_203,1,undirected
chatbot_34,human_206,5,undirected
chatbot_34,human_213,2,undirected
chatbot_34,human_28,3,undirected
chatbot_35,chatbot_15,6,undirected
chatbot_35,chatbot_19,4,undirected
chatbot_35,chatbot_2,4,undirected
chatbot_35,chatbot_21,3,undirected
chatbot_35,chatbot_26,4,undirected
chatbot_35,chatbot_29,2,undirected
chatbot_35,chatbot_33,3,undirected
chatbot_35,chatbot_4,5,undirected
chatbot_35,chatbot_7,2,undirected
chatbot_35,chatbot_8,3,undirected
chatbot_35,human_125,2,undirected
chatbot_35,human_133,2,undirected
chatbot_35,human_188,2,undirected
chatbot_35,human_206,4,undirected
chatbot_35,human_237,5,undirected
chatbot_35,human_28,1,undirected
chatbot_35,human_68,3,undirected
chatbot_35,human_84,10,undirected
chatbot_4,chatbot_10,18,undirected
chatbot_4,chatbot_17,3,undirected
chatbot_4,chatbot_35,5,undirected
chatbot_4,chatbot_7,5,undirected
chatbot_5,chatbot_11,1,undirected
chatbot_5,chatbot_19,6,undirected
chatbot_5,chatbot_2,2,undirected
chatbot_5,chatbot_6,4,undirected
chatbot_5,human_133,9,undirected
chatbot_5,human_152,1,undirected
chatbot_5,human_206,1,undirected
chatbot_5,human_28,1,undirected
chatbot_5,human_71,2,undirected
chatbot_6,chatbot_10,13,undirected
chatbot_6,chatbot_11,12,undirected
chatbot_6,chatbot_16,6,undirected
chatbot_6,chatbot_2,2,undirected
chatbot_6,chatbot_5,4,undirected
chatbot_6,chatbot_7,4,undirected
chatbot_7,chatbot_10,2,undirected
chatbot_7,chatbot_11,6,undirected
chatbot_7,chatbot_15,13,undirected
chatbot_7,chatbot_16,4,undirected
chatbot_7,chatbot_17,6,undirected
chatbot_7,chatbot_19,2,undirected
chatbot_7,chatbot_27,12,undirected
chatbot_7,chatbot_35,2,undirected
chatbot_7,chatbot_4,5,undirected
chatbot_7,chatbot_6,4,undirected
chatbot_7,chatbot_8,19,undirected
chatbot_8,chatbot_19,4,undirected
chatbot_8,chatbot_35,3,undirected
chatbot_8,chatbot_7,19,undirected
chatbot_8,human_165,10,undirected
chatbot_8,human_17,1,undirected
chatbot_8,human_28,1,undirected
chatbot_9,chatbot_17,2,undirected
chatbot_9,chatbot_2,9,undirected
chatbot_9,human_133,6,undirected
chatbot_9,human_237,4,undirected
chatbot_9,human_240,2,undirected
chatbot_9,human_28,1,undirected
human_0,human_14,13,undirected
human_0,human_20,2,undirected
human_0,human_22,11,undirected
human_0,human_240,1,undirected
human_0,human_88,4,undirected
human_1,human_109,2,undirected
human_1,human_139,2,undirected
human_1,human_233,1,undirected
human_1,human_25,2,undirected
human_1,human_28,3,undirected
human_1,human_32,1,undirected
human_1,human_44,1,undirected
human_1,human_46,9,undirected
human_1,human_5,1,undirected
human_1,human_9,6,undirected
human_10,chatbot_30,2,undirected
human_10,human_14,9,undirected
human_10,human_16,13,undirected
human_10,human_226,10,undirected
human_10,human_28,5,undirected
human_10,human_41,4,undirected
human_100,human_109,4,undirected
human_100,human_133,9,undirected
human_100,human_237,1,undirected
human_100,human_240,1,undirected
human_100,human_28,8,undirected
human_100,human_74,1,undirected
human_101,human_107,7,undirected
human_101,human_110,7,undirected
human_101,human_206,1,undirected
human_101,human_31,1,undirected
human_101,human_54,8,undirected
human_102,human_124,1,undirected
human_102,human_152,6,undirected
human_102,human_206,8,undirected
human_102,human_217,2,undirected
human_102,human_237,8,undirected
human_102,human_28,1,undirected
human_103,human_117,3,undirected
human_103,human_206,8,undirected
human_103,human_211,1,undirected
human_103,human_73,9,undirected
human_103,human_87,20,undirected
human_104,human_141,7,undirected
human_104,human_200,2,undirected
human_104,human_27,5,undirected
human_104,human_28,7,undirected
human_104,human_56,2,undirected
human_104,human_98,1,undirected
human_105,human_212,12,undirected
human_105,human_240,2,undirected
human_105,human_41,1,undirected
human_105,human_85,3,undirected
human_105,human_88,5,undirected
human_105,human_9,2,undirected
human_105,human_99,9,undirected
human_106,chatbot_2,1,undirected
human_106,human_120,1,undirected
human_106,human_206,1,undirected
human_106,human_212,5,undirected
human_106,human_22,2,undirected
human_106,human_240,11,undirected
human_106,human_59,3,undirected
human_107,human_101,7,undirected
human_107,human_110,15,undirected
human_107,human_212,5,undirected
human_107,human_23,1,undirected
human_107,human_65,2,undirected
human_107,human_88,4,undirected
human_108,human_109,1,undirected
human_108,human_205,2,undirected
human_108,human_235,3,undirected
human_108,human_28,3,undirected
human_108,human_64,6,undirected
human_108,human_88,6,undirected
human_108,human_91,3,undirected
human_109,chatbot_0,10,undirected
human_109,chatbot_28,5,undirected
human_109,chatbot_31,12,undirected
human_109,human_1,2,undirected
human_109,human_100,4,undirected
human_109,human_108,1,undirected
human_109,human_110,9,undirected
human_109,human_127,6,undirected
human_109,human_129,8,undirected
human_109,human_132,1,undirected
human_109,human_133,24,undirected
human_109,human_139,5,undirected
human_109,human_141,12,undirected
human_109,human_148,10,undirected
human_109,human_151,6,undirected
human_109,human_155,9,undirected
human_109,human_156,1,undirected
human_109,human_157,10,undirected
human_109,human_161,2,undirected
human_109,human_174,1,undirected
human_109,human_182,2,undirected
human_109,human_186,5,undirected
human_109,human_191,4,undirected
human_109,human_20,1,undirected
human_109,human_200,3,undirected
human_109,human_205,1,undirected
human_109,human_209,1,undirected
human_109,human_215,12,undirected
human_109,human_220,9,undirected
human_109,human_221,3,undirected
human_109,human_222,8,undirected
human_109,human_233,6,undirected
human_109,human_235,8,undirected
human_109,human_236,5,undirected
human_109,human_238,2,undirected
human_109,human_27,1,undirected
human_109,human_28,9,undirected
human_109,human_34,2,undirected
human_109,human_40,9,undirected
human_109,human_41,4,undirected
human_109,human_49,1,undirected
human_109,human_5,11,undirected
human_109,human_58,4,undirected
human_109,human_59,5,undirected
human_109,human_60,1,undirected
human_109,human_75,1,undirected
human_109,human_90,1,undirected
human_109,human_96,3,undirected
human_109,human_97,8,undirected
human_11,human_14,10,undirected
human_11,human_163,4,undirected
human_11,human_204,9,undirected
human_11,human_28,5,undirected
human_11,human_33,2,undirected
human_11,human_36,15,undirected
human_110,human_101,7,undirected
human_110,human_107,15,undirected
human_110,human_109,9,undirected
human_110,human_122,4,undirected
human_110,human_164,3,undirected
human_110,human_212,5,undirected
human_110,human_237,2,undirected
human_110,human_28,1,undirected
human_111,human_113,3,undirected
human_111,human_122,6,undirected
human_111,human_143,1,undirected
human_111,human_192,4,undirected
human_111,human_198,5,undirected
human_111,human_206,5,undirected
human_111,human_28,6,undirected
human_111,human_44,3,undirected
human_111,human_63,5,undirected
human_111,human_65,1,undirected
human_112,human_123,2,undirected
human_112,human_189,1,undirected
human_112,human_202,8,undirected
human_112,human_224,2,undirected
human_112,human_238,1,undirected
human_112,human_88,10,undirected
human_112,human_92,3,undirected
human_112,human_94,2,undirected
human_113,human_111,3,undirected
human_113,human_187,1,undirected
human_113,human_188,1,undirected
human_113,human_206,1,undirected
human_113,human_212,9,undirected
human_113,human_237,6,undirected
human_113,human_63,2,undirected
human_113,human_76,5,undirected
human_113,human_88,1,undirected
human_114,chatbot_19,5,undirected
human_114,human_126,7,undirected
human_114,human_146,4,undirected
human_114,human_196,1,undirected
human_114,human_206,4,undirected
human_114,human_222,1,undirected
human_114,human_28,9,undirected
human_114,human_69,3,undirected
human_115,human_138,3,undirected
human_115,human_178,10,undirected
human_115,human_187,6,undirected
human_115,human_220,1,undirected
human_115,human_223,1,undirected
human_115,human_231,2,undirected
human_115,human_234,3,undirected
human_115,human_28,5,undirected
human_115,human_65,2,undirected
human_115,human_75,1,undirected
human_116,human_12,1,undirected
human_116,human_122,3,undirected
human_116,human_134,1,undirected
human_116,human_14,2,undirected
human_116,human_193,3,undirected
human_116,human_206,1,undirected
human_116,human_21,8,undirected
human_116,human_219,1,undirected
human_116,human_22,12,undirected
human_116,human_230,2,undirected
human_116,human_232,2,undirected
human_116,human_88,3,undirected
human_117,human_103,3,undirected
human_117,human_127,7,undirected
