Source,Target,Weight,Type
chatbot_0,chatbot_33,2,undirected
chatbot_0,chatbot_34,1,undirected
chatbot_0,human_150,2,undirected
chatbot_0,human_151,1,undirected
chatbot_0,human_226,3,undirected
chatbot_1,chatbot_19,3,undirected
chatbot_1,chatbot_2,2,undirected
chatbot_1,human_242,1,undirected
chatbot_10,chatbot_12,3,undirected
chatbot_10,chatbot_31,2,undirected
chatbot_10,chatbot_4,6,undirected
chatbot_10,human_22,1,undirected
chatbot_10,human_232,2,undirected
chatbot_11,chatbot_2,1,undirected
chatbot_11,chatbot_28,2,undirected
chatbot_11,chatbot_35,4,undirected
chatbot_11,chatbot_5,3,undirected
chatbot_11,chatbot_6,3,undirected
chatbot_11,human_12,1,undirected
chatbot_12,chatbot_10,3,undirected
chatbot_12,chatbot_4,2,undirected
chatbot_12,chatbot_6,1,undirected
chatbot_13,human_105,1,undirected
chatbot_13,human_38,2,undirected
chatbot_13,human_99,3,undirected
chatbot_14,human_101,3,undirected
chatbot_14,human_12,2,undirected
chatbot_14,human_143,1,undirected
chatbot_14,human_183,1,undirected
chatbot_15,human_233,1,undirected
chatbot_15,human_240,3,undirected
chatbot_15,human_99,2,undirected
chatbot_16,chatbot_3,2,undirected
chatbot_16,chatbot_35,1,undirected
chatbot_16,human_227,3,undirected
chatbot_16,human_94,2,undirected
chatbot_17,human_101,3,undirected
chatbot_17,human_119,2,undirected
chatbot_17,human_174,1,undirected
chatbot_18,chatbot_22,2,undirected
chatbot_18,chatbot_24,6,undirected
chatbot_18,chatbot_27,1,undirected
chatbot_19,chatbot_1,3,undirected
chatbot_19,human_109,5,undirected
chatbot_19,human_178,3,undirected
chatbot_19,human_211,2,undirected
chatbot_2,chatbot_1,2,undirected
chatbot_2,chatbot_11,1,undirected
chatbot_2,chatbot_21,1,undirected
chatbot_2,chatbot_25,1,undirected
chatbot_2,chatbot_26,4,undirected
chatbot_2,chatbot_27,5,undirected
chatbot_2,chatbot_28,1,undirected
chatbot_20,chatbot_27,2,undirected
chatbot_20,chatbot_35,3,undirected
chatbot_20,human_2,1,undirected
chatbot_21,chatbot_2,1,undirected
chatbot_21,chatbot_23,2,undirected
chatbot_21,chatbot_27,3,undirected
chatbot_22,chatbot_18,2,undirected
chatbot_22,chatbot_25,2,undirected
chatbot_22,chatbot_28,2,undirected
chatbot_22,chatbot_35,1,undirected
chatbot_22,chatbot_7,3,undirected
chatbot_23,chatbot_21,2,undirected
chatbot_23,chatbot_7,5,undirected
chatbot_23,human_226,1,undirected
chatbot_23,human_99,2,undirected
chatbot_24,chatbot_18,6,undirected
chatbot_24,chatbot_5,1,undirected
chatbot_24,human_12,2,undirected
chatbot_24,human_41,1,undirected
chatbot_25,chatbot_2,1,undirected
chatbot_25,chatbot_22,2,undirected
chatbot_25,human_234,3,undirected
chatbot_26,chatbot_2,4,undirected
chatbot_26,chatbot_27,6,undirected
chatbot_26,chatbot_7,2,undirected
chatbot_27,chatbot_18,1,undirected
chatbot_27,chatbot_2,5,undirected
chatbot_27,chatbot_20,2,undirected
chatbot_27,chatbot_21,3,undirected
chatbot_27,chatbot_26,6,undirected
chatbot_27,chatbot_8,1,undirected
chatbot_27,human_152,1,undirected
chatbot_27,human_58,1,undirected
chatbot_28,chatbot_11,2,undirected
chatbot_28,chatbot_2,1,undirected
chatbot_28,chatbot_22,2,undirected
chatbot_28,chatbot_7,3,undirected
chatbot_29,human_149,2,undirected
chatbot_29,human_16,3,undirected
chatbot_29,human_210,1,undirected
chatbot_3,chatbot_16,2,undirected
chatbot_3,chatbot_4,3,undirected
chatbot_3,chatbot_9,6,undirected
chatbot_30,chatbot_6,2,undirected
chatbot_30,human_194,1,undirected
chatbot_30,human_34,3,undirected
chatbot_31,chatbot_10,2,undirected
chatbot_31,chatbot_32,6,undirected
chatbot_31,human_54,1,undirected
chatbot_32,chatbot_31,6,undirected
chatbot_32,chatbot_9,2,undirected
chatbot_32,human_54,1,undirected
chatbot_33,chatbot_0,2,undirected
chatbot_33,chatbot_34,6,undirected
chatbot_33,chatbot_35,1,undirected
chatbot_34,chatbot_0,1,undirected
chatbot_34,chatbot_33,6,undirected
chatbot_34,chatbot_35,2,undirected
chatbot_35,chatbot_11,4,undirected
chatbot_35,chatbot_16,1,undirected
chatbot_35,chatbot_20,3,undirected
chatbot_35,chatbot_22,1,undirected
chatbot_35,chatbot_33,1,undirected
chatbot_35,chatbot_34,2,undirected
chatbot_35,chatbot_7,6,undirected
chatbot_4,chatbot_10,6,undirected
chatbot_4,chatbot_12,2,undirected
chatbot_4,chatbot_3,3,undirected
chatbot_4,chatbot_6,1,undirected
chatbot_4,chatbot_8,2,undirected
chatbot_4,human_139,2,undirected
chatbot_5,chatbot_11,3,undirected
chatbot_5,chatbot_24,1,undirected
chatbot_5,chatbot_6,2,undirected
chatbot_6,chatbot_11,3,undirected
chatbot_6,chatbot_12,1,undirected
chatbot_6,chatbot_30,2,undirected
chatbot_6,chatbot_4,1,undirected
chatbot_6,chatbot_5,2,undirected
chatbot_6,human_0,2,undirected
chatbot_6,human_240,3,undirected
chatbot_7,chatbot_22,3,undirected
chatbot_7,chatbot_23,5,undirected
chatbot_7,chatbot_26,2,undirected
chatbot_7,chatbot_28,3,undirected
chatbot_7,chatbot_35,6,undirected
chatbot_8,chatbot_27,1,undirected
chatbot_8,chatbot_4,2,undirected
chatbot_8,human_50,3,undirected
chatbot_9,chatbot_3,6,undirected
chatbot_9,chatbot_32,2,undirected
chatbot_9,human_161,1,undirected
chatbot_9,human_228,4,undirected
human_0,chatbot_6,2,undirected
human_0,human_12,2,undirected
human_0,human_136,1,undirected
human_0,human_165,2,undirected
human_0,human_17,3,undirected
human_0,human_172,1,undirected
human_0,human_22,3,undirected
human_0,human_233,1,undirected
human_0,human_237,2,undirected
human_0,human_239,3,undirected
human_0,human_7,6,undirected
human_0,human_76,2,undirected
human_1,human_177,3,undirected
human_1,human_179,3,undirected
human_1,human_184,2,undirected
human_1,human_20,5,undirected
human_1,human_208,2,undirected
human_1,human_235,3,undirected
human_1,human_237,3,undirected
human_1,human_49,1,undirected
human_1,human_77,1,undirected
human_1,human_84,1,undirected
human_10,human_14,5,undirected
human_10,human_145,2,undirected
human_10,human_16,6,undirected
human_10,human_160,3,undirected
human_10,human_170,3,undirected
human_10,human_39,1,undirected
human_10,human_40,1,undirected
human_10,human_5,3,undirected
human_10,human_68,1,undirected
human_100,human_126,2,undirected
human_100,human_182,3,undirected
human_100,human_220,1,undirected
human_101,chatbot_14,3,undirected
human_101,chatbot_17,3,undirected
human_101,human_105,1,undirected
human_101,human_119,2,undirected
human_101,human_13,6,undirected
human_101,human_22,2,undirected
human_101,human_80,3,undirected
human_101,human_85,4,undirected
human_101,human_90,1,undirected
human_102,human_113,4,undirected
human_102,human_137,3,undirected
human_102,human_3,1,undirected
human_103,human_172,1,undirected
human_103,human_218,3,undirected
human_103,human_70,2,undirected
human_104,human_14,2,undirected
human_104,human_207,4,undirected
human_104,human_6,3,undirected
human_105,chatbot_13,1,undirected
human_105,human_101,1,undirected
human_105,human_118,3,undirected
human_105,human_121,1,undirected
human_105,human_135,3,undirected
human_105,human_141,3,undirected
human_105,human_53,5,undirected
human_105,human_78,2,undirected
human_105,human_99,3,undirected
human_106,human_175,2,undirected
human_106,human_189,1,undirected
human_106,human_190,4,undirected
human_106,human_205,4,undirected
human_106,human_226,6,undirected
human_106,human_65,2,undirected
human_106,human_95,1,undirected
human_107,human_123,1,undirected
human_107,human_134,2,undirected
human_107,human_138,1,undirected
human_107,human_147,1,undirected
human_107,human_240,2,undirected
human_107,human_241,2,undirected
human_107,human_4,6,undirected
human_107,human_51,1,undirected
