Source,Target,Weight,Type
HarpersBazaar_0,HarpersBazaar_41,4,undirected
HarpersBazaar_0,OceanDrive_81,3,undirected
HarpersBazaar_0,Paula_0,9,undirected
HarpersBazaar_0,Paula_3,6,undirected
HarpersBazaar_0,Paula_9,1,undirected
HarpersBazaar_0,RevistaCosas_127,1,undirected
HarpersBazaar_0,RevistaCosas_45,3,undirected
HarpersBazaar_0,RevistaCosas_46,2,undirected
HarpersBazaar_0,VisteLaCalle_10,3,undirected
HarpersBazaar_0,VisteLaCalle_47,1,undirected
HarpersBazaar_0,VogueES_225,4,undirected
HarpersBazaar_0,VogueES_96,2,undirected
HarpersBazaar_1,HarpersBazaar_11,1,undirected
HarpersBazaar_1,HarpersBazaar_21,3,undirected
HarpersBazaar_1,HarpersBazaar_23,2,undirected
HarpersBazaar_1,HarpersBazaar_7,4,undirected
HarpersBazaar_1,InStyle_56,2,undirected
HarpersBazaar_1,Lofficiel_24,6,undirected
HarpersBazaar_1,Telva_23,6,undirected
HarpersBazaar_1,VisteLaCalle_10,3,undirected
HarpersBazaar_1,VisteLaCalle_12,11,undirected
HarpersBazaar_1,VisteLaCalle_14,1,undirected
HarpersBazaar_1,VogueES_153,1,undirected
HarpersBazaar_1,VogueES_32,4,undirected
HarpersBazaar_1,VogueES_58,6,undirected
HarpersBazaar_1,VogueMX_28,4,undirected
HarpersBazaar_10,HarpersBazaar_20,15,undirected
HarpersBazaar_10,HarpersBazaar_44,6,undirected
HarpersBazaar_10,HarpersBazaar_9,2,undirected
HarpersBazaar_10,VisteLaCalle_10,4,undirected
HarpersBazaar_10,VogueES_16,1,undirected
HarpersBazaar_10,VogueMX_16,3,undirected
HarpersBazaar_11,HarpersBazaar_1,1,undirected
HarpersBazaar_11,HarpersBazaar_44,6,undirected
HarpersBazaar_11,InStyle_11,2,undirected
HarpersBazaar_11,InStyle_35,1,undirected
HarpersBazaar_11,InStyle_45,1,undirected
HarpersBazaar_11,InStyle_68,6,undirected
HarpersBazaar_11,Lofficiel_32,1,undirected
HarpersBazaar_11,OceanDrive_68,2,undirected
HarpersBazaar_11,OceanDrive_80,2,undirected
HarpersBazaar_11,OceanDrive_81,3,undirected
HarpersBazaar_11,RevistaCosas_132,10,undirected
HarpersBazaar_11,RevistaCosas_43,2,undirected
