Source,Target,Weight,Type
HarpersBazaar_0,RevistaCosas_43,1,undirected
HarpersBazaar_0,RevistaCosas_59,3,undirected
HarpersBazaar_0,VogueES_96,2,undirected
HarpersBazaar_1,HarpersBazaar_11,2,undirected
HarpersBazaar_1,HarpersBazaar_21,3,undirected
HarpersBazaar_1,HarpersBazaar_42,3,undirected
HarpersBazaar_1,VisteLaCalle_12,2,undirected
HarpersBazaar_1,VisteLaCalle_13,1,undirected
HarpersBazaar_1,VisteLaCalle_54,1,undirected
HarpersBazaar_10,HarpersBazaar_20,3,undirected
HarpersBazaar_10,HarpersBazaar_42,1,undirected
HarpersBazaar_10,OceanDrive_2,2,undirected
HarpersBazaar_11,HarpersBazaar_1,2,undirected
HarpersBazaar_11,HarpersBazaar_44,3,undirected
HarpersBazaar_11,HarpersBazaar_9,2,undirected
HarpersBazaar_11,InStyle_11,2,undirected
HarpersBazaar_11,InStyle_42,3,undirected
HarpersBazaar_11,InStyle_45,2,undirected
HarpersBazaar_11,InStyle_68,3,undirected
HarpersBazaar_11,Lofficiel_30,1,undirected
HarpersBazaar_11,Lofficiel_32,4,undirected
HarpersBazaar_11,OceanDrive_1,2,undirected
HarpersBazaar_11,OceanDrive_16,2,undirected
HarpersBazaar_11,OceanDrive_26,2,undirected
HarpersBazaar_11,OceanDrive_32,2,undirected
HarpersBazaar_11,OceanDrive_45,3,undirected
HarpersBazaar_11,OceanDrive_53,1,undirected
HarpersBazaar_11,OceanDrive_80,3,undirected
HarpersBazaar_11,Paula_54,3,undirected
HarpersBazaar_11,Paula_60,1,undirected
HarpersBazaar_11,Paula_61,2,undirected
HarpersBazaar_11,Paula_63,2,undirected
HarpersBazaar_11,RevistaCosas_132,3,undirected
HarpersBazaar_11,RevistaCosas_30,1,undirected
HarpersBazaar_11,Telva_14,3,undirected
HarpersBazaar_11,VisteLaCalle_101,3,undirected
HarpersBazaar_11,VisteLaCalle_137,1,undirected
HarpersBazaar_11,VisteLaCalle_48,2,undirected
HarpersBazaar_11,VisteLaCalle_75,3,undirected
HarpersBazaar_11,VogueES_148,2,undirected
HarpersBazaar_11,VogueES_176,2,undirected
HarpersBazaar_11,VogueES_201,3,undirected
HarpersBazaar_11,VogueES_46,1,undirected
HarpersBazaar_11,VogueES_74,1,undirected
HarpersBazaar_11,VogueES_9,1,undirected
HarpersBazaar_11,VogueMX_30,1,undirected
HarpersBazaar_11,VogueMX_42,1,undirected
HarpersBazaar_11,VogueMX_5,1,undirected
HarpersBazaar_12,InStyle_72,2,undirected
HarpersBazaar_12,Paula_69,1,undirected
HarpersBazaar_12,RevistaCosas_28,3,undirected
HarpersBazaar_13,Lofficiel_32,3,undirected
HarpersBazaar_13,OceanDrive_44,1,undirected
HarpersBazaar_13,VogueES_144,3,undirected
HarpersBazaar_13,VogueES_201,2,undirected
HarpersBazaar_14,Lofficiel_32,1,undirected
HarpersBazaar_14,RevistaCosas_45,3,undirected
HarpersBazaar_14,VisteLaCalle_139,2,undirected
HarpersBazaar_15,HarpersBazaar_45,3,undirected
HarpersBazaar_15,Lofficiel_18,3,undirected
HarpersBazaar_15,Lofficiel_25,2,undirected
HarpersBazaar_15,Lofficiel_32,2,undirected
HarpersBazaar_15,Lofficiel_8,1,undirected
HarpersBazaar_15,OceanDrive_29,1,undirected
HarpersBazaar_15,OceanDrive_84,3,undirected
HarpersBazaar_15,Paula_34,2,undirected
HarpersBazaar_15,Paula_58,3,undirected
HarpersBazaar_15,RevistaCosas_46,1,undirected
HarpersBazaar_15,RevistaCosas_96,1,undirected
HarpersBazaar_15,Telva_1,2,undirected
HarpersBazaar_15,VisteLaCalle_102,1,undirected
HarpersBazaar_15,VisteLaCalle_111,3,undirected
HarpersBazaar_15,VisteLaCalle_121,3,undirected
HarpersBazaar_15,VisteLaCalle_122,2,undirected
HarpersBazaar_15,VisteLaCalle_29,1,undirected
HarpersBazaar_15,VisteLaCalle_42,1,undirected
HarpersBazaar_15,VisteLaCalle_44,2,undirected
HarpersBazaar_15,VisteLaCalle_7,1,undirected
HarpersBazaar_15,VisteLaCalle_82,3,undirected
HarpersBazaar_15,VisteLaCalle_85,3,undirected
HarpersBazaar_15,VisteLaCalle_99,3,undirected
HarpersBazaar_15,VogueES_192,3,undirected
HarpersBazaar_15,VogueES_207,1,undirected
