Source,Target,Weight,Type
HarpersBazaar_0,RevistaCosas_9,1,undirected
HarpersBazaar_0,VisteLaCalle_3,2,undirected
HarpersBazaar_0,VogueES_225,3,undirected
HarpersBazaar_1,HarpersBazaar_25,3,undirected
HarpersBazaar_1,HarpersBazaar_52,1,undirected
HarpersBazaar_1,VogueES_153,1,undirected
HarpersBazaar_1,VogueES_58,2,undirected
HarpersBazaar_10,HarpersBazaar_20,6,undirected
HarpersBazaar_10,HarpersBazaar_44,2,undirected
HarpersBazaar_10,OceanDrive_29,3,undirected
HarpersBazaar_10,RevistaCosas_53,1,undirected
HarpersBazaar_11,Paula_23,3,undirected
HarpersBazaar_11,RevistaCosas_128,2,undirected
HarpersBazaar_11,RevistaCosas_135,2,undirected
HarpersBazaar_11,RevistaCosas_137,1,undirected
HarpersBazaar_11,Telva_82,3,undirected
HarpersBazaar_11,VisteLaCalle_137,3,undirected
HarpersBazaar_11,VogueES_74,2,undirected
HarpersBazaar_11,VogueMX_5,3,undirected
HarpersBazaar_12,Lofficiel_5,1,undirected
HarpersBazaar_12,VisteLaCalle_8,2,undirected
HarpersBazaar_12,VogueES_15,3,undirected
HarpersBazaar_13,RevistaCosas_39,1,undirected
HarpersBazaar_13,RevistaCosas_87,2,undirected
HarpersBazaar_13,Telva_2,5,undirected
HarpersBazaar_13,VisteLaCalle_129,5,undirected
HarpersBazaar_13,VogueES_71,3,undirected
HarpersBazaar_14,SomosOhLala_16,2,undirected
HarpersBazaar_14,Telva_1,3,undirected
HarpersBazaar_14,Telva_21,1,undirected
HarpersBazaar_14,VogueES_103,1,undirected
HarpersBazaar_15,Lofficiel_8,3,undirected
HarpersBazaar_15,Paula_32,4,undirected
HarpersBazaar_15,Telva_2,6,undirected
HarpersBazaar_16,HarpersBazaar_17,2,undirected
HarpersBazaar_16,OceanDrive_16,3,undirected
HarpersBazaar_16,Telva_1,3,undirected
HarpersBazaar_16,Telva_72,1,undirected
HarpersBazaar_16,VisteLaCalle_16,5,undirected
HarpersBazaar_16,VogueES_154,1,undirected
HarpersBazaar_17,HarpersBazaar_16,2,undirected
HarpersBazaar_17,HarpersBazaar_46,3,undirected
HarpersBazaar_17,InStyle_53,3,undirected
HarpersBazaar_17,InStyle_75,2,undirected
HarpersBazaar_17,Lofficiel_10,3,undirected
HarpersBazaar_17,OceanDrive_10,2,undirected
HarpersBazaar_17,OceanDrive_19,2,undirected
HarpersBazaar_17,OceanDrive_25,3,undirected
HarpersBazaar_17,OceanDrive_30,3,undirected
HarpersBazaar_17,OceanDrive_58,2,undirected
HarpersBazaar_17,Paula_23,3,undirected
HarpersBazaar_17,RevistaCosas_117,5,undirected
HarpersBazaar_17,RevistaCosas_121,2,undirected
HarpersBazaar_17,RevistaCosas_133,3,undirected
HarpersBazaar_17,RevistaCosas_140,3,undirected
HarpersBazaar_17,RevistaCosas_26,5,undirected
HarpersBazaar_17,RevistaCosas_47,2,undirected
HarpersBazaar_17,RevistaCosas_60,2,undirected
HarpersBazaar_17,RevistaCosas_76,3,undirected
HarpersBazaar_17,RevistaCosas_86,3,undirected
HarpersBazaar_17,SomosOhLala_23,1,undirected
HarpersBazaar_17,Telva_24,1,undirected
HarpersBazaar_17,Telva_32,2,undirected
HarpersBazaar_17,Telva_46,1,undirected
HarpersBazaar_17,VisteLaCalle_158,1,undirected
HarpersBazaar_17,VisteLaCalle_16,4,undirected
HarpersBazaar_17,VogueES_123,1,undirected
HarpersBazaar_17,VogueES_18,1,undirected
HarpersBazaar_17,VogueES_20,1,undirected
HarpersBazaar_17,VogueES_225,1,undirected
HarpersBazaar_17,VogueES_35,2,undirected
HarpersBazaar_17,VogueES_62,2,undirected
HarpersBazaar_17,VogueES_68,3,undirected
HarpersBazaar_17,VogueES_93,1,undirected
HarpersBazaar_17,VogueMX_25,3,undirected
HarpersBazaar_17,VogueMX_46,3,undirected
HarpersBazaar_18,InStyle_50,3,undirected
HarpersBazaar_18,InStyle_61,5,undirected
HarpersBazaar_18,Paula_16,1,undirected
HarpersBazaar_18,Paula_39,3,undirected
HarpersBazaar_18,Telva_10,1,undirected
HarpersBazaar_18,Telva_11,2,undirected
HarpersBazaar_18,VisteLaCalle_112,2,undirected
HarpersBazaar_18,VisteLaCalle_9,1,undirected
HarpersBazaar_18,VogueES_1,2,undirected
HarpersBazaar_18,VogueES_115,3,undirected
HarpersBazaar_18,VogueES_137,1,undirected
HarpersBazaar_18,VogueES_183,1,undirected
HarpersBazaar_18,VogueMX_12,4,undirected
HarpersBazaar_18,VogueMX_3,2,undirected
HarpersBazaar_18,VogueMX_33,3,undirected
HarpersBazaar_18,VogueMX_38,3,undirected
HarpersBazaar_18,VogueMX_44,1,undirected
HarpersBazaar_19,Paula_1,2,undirected
HarpersBazaar_19,RevistaCosas_9,1,undirected
HarpersBazaar_19,VisteLaCalle_3,3,undirected
HarpersBazaar_2,InStyle_0,1,undirected
HarpersBazaar_2,RevistaCosas_139,3,undirected
HarpersBazaar_2,VisteLaCalle_110,2,undirected
HarpersBazaar_2,VisteLaCalle_23,2,undirected
HarpersBazaar_2,VogueES_73,2,undirected
HarpersBazaar_20,HarpersBazaar_10,6,undirected
HarpersBazaar_20,HarpersBazaar_44,1,undirected
HarpersBazaar_20,HarpersBazaar_51,3,undirected
HarpersBazaar_20,HarpersBazaar_9,3,undirected
HarpersBazaar_20,InStyle_46,4,undirected
HarpersBazaar_20,OceanDrive_34,3,undirected
HarpersBazaar_20,OceanDrive_52,2,undirected
HarpersBazaar_20,OceanDrive_78,1,undirected
HarpersBazaar_21,HarpersBazaar_45,3,undirected
HarpersBazaar_21,HarpersBazaar_52,5,undirected
HarpersBazaar_21,OceanDrive_83,3,undirected
HarpersBazaar_21,RevistaCosas_7,1,undirected
HarpersBazaar_21,RevistaCosas_70,3,undirected
HarpersBazaar_22,InStyle_0,3,undirected
HarpersBazaar_22,InStyle_47,3,undirected
HarpersBazaar_22,Telva_4,2,undirected
HarpersBazaar_22,VogueES_234,3,undirected
HarpersBazaar_23,Paula_51,1,undirected
HarpersBazaar_23,Telva_54,1,undirected
HarpersBazaar_23,VogueES_112,3,undirected
HarpersBazaar_23,VogueES_147,2,undirected
HarpersBazaar_24,OceanDrive_74,3,undirected
HarpersBazaar_24,RevistaCosas_66,3,undirected
HarpersBazaar_24,VisteLaCalle_102,3,undirected
HarpersBazaar_24,VisteLaCalle_147,2,undirected
HarpersBazaar_24,VisteLaCalle_23,1,undirected
HarpersBazaar_25,HarpersBazaar_1,3,undirected
HarpersBazaar_25,HarpersBazaar_44,1,undirected
HarpersBazaar_25,InStyle_62,3,undirected
HarpersBazaar_25,InStyle_68,2,undirected
HarpersBazaar_25,RevistaCosas_26,3,undirected
HarpersBazaar_25,RevistaCosas_32,2,undirected
HarpersBazaar_25,VogueES_15,3,undirected
HarpersBazaar_25,VogueES_60,1,undirected
HarpersBazaar_25,VogueES_84,1,undirected
HarpersBazaar_26,InStyle_27,1,undirected
HarpersBazaar_26,OceanDrive_16,2,undirected
HarpersBazaar_26,OceanDrive_8,2,undirected
HarpersBazaar_26,VogueES_21,5,undirected
HarpersBazaar_27,Lofficiel_2,3,undirected
HarpersBazaar_27,RevistaCosas_36,2,undirected
HarpersBazaar_27,VisteLaCalle_2,1,undirected
HarpersBazaar_28,HarpersBazaar_57,1,undirected
HarpersBazaar_28,VogueES_14,3,undirected
HarpersBazaar_28,VogueES_59,2,undirected
HarpersBazaar_29,InStyle_12,3,undirected
HarpersBazaar_29,InStyle_13,2,undirected
HarpersBazaar_29,Lofficiel_28,1,undirected
HarpersBazaar_29,OceanDrive_72,1,undirected
HarpersBazaar_29,Paula_23,2,undirected
HarpersBazaar_29,SomosOhLala_10,1,undirected
HarpersBazaar_29,VisteLaCalle_165,1,undirected
HarpersBazaar_29,VisteLaCalle_48,3,undirected
HarpersBazaar_29,VogueMX_13,1,undirected
HarpersBazaar_3,RevistaCosas_127,1,undirected
HarpersBazaar_3,RevistaCosas_66,2,undirected
HarpersBazaar_3,RevistaCosas_8,3,undirected
HarpersBazaar_3,VisteLaCalle_140,1,undirected
HarpersBazaar_30,HarpersBazaar_6,2,undirected
HarpersBazaar_30,InStyle_13,1,undirected
HarpersBazaar_30,Paula_11,2,undirected
HarpersBazaar_30,RevistaCosas_5,3,undirected
HarpersBazaar_30,VisteLaCalle_70,1,undirected
HarpersBazaar_30,VogueES_184,3,undirected
HarpersBazaar_30,VogueES_82,1,undirected
HarpersBazaar_30,VogueMX_12,3,undirected
HarpersBazaar_30,VogueMX_31,1,undirected
HarpersBazaar_30,VogueMX_33,1,undirected
HarpersBazaar_31,RevistaCosas_49,3,undirected
HarpersBazaar_31,Telva_15,2,undirected
HarpersBazaar_31,Telva_41,1,undirected
HarpersBazaar_32,Lofficiel_33,3,undirected
HarpersBazaar_32,Paula_12,2,undirected
HarpersBazaar_32,Paula_46,3,undirected
