Source,Target,Weight,Type
argentina_0,argentina_16,2,undirected
argentina_0,spain_1,3,undirected
argentina_0,spain_166,3,undirected
argentina_1,argentina_26,2,undirected
argentina_1,mexico_30,1,undirected
argentina_1,peru_134,3,undirected
argentina_10,argentina_17,3,undirected
argentina_10,argentina_18,3,undirected
argentina_10,argentina_38,3,undirected
argentina_10,argentina_6,3,undirected
argentina_10,argentina_8,3,undirected
argentina_10,chile_106,3,undirected
argentina_10,chile_151,1,undirected
argentina_10,chile_17,2,undirected
argentina_10,chile_28,1,undirected
argentina_10,chile_59,3,undirected
argentina_10,chile_76,2,undirected
argentina_10,chile_81,1,undirected
argentina_10,peru_100,1,undirected
argentina_10,peru_121,1,undirected
argentina_10,peru_124,3,undirected
argentina_10,peru_126,1,undirected
argentina_10,peru_135,2,undirected
argentina_10,peru_141,2,undirected
argentina_10,peru_30,3,undirected
argentina_10,peru_35,3,undirected
argentina_10,peru_62,1,undirected
argentina_10,peru_80,2,undirected
argentina_10,peru_89,3,undirected
argentina_10,peru_90,2,undirected
argentina_10,peru_95,1,undirected
argentina_10,spain_10,3,undirected
argentina_10,spain_12,2,undirected
argentina_10,spain_134,3,undirected
argentina_10,spain_147,2,undirected
argentina_10,spain_149,2,undirected
argentina_10,spain_164,1,undirected
argentina_10,spain_165,2,undirected
argentina_10,spain_215,2,undirected
argentina_10,spain_226,2,undirected
argentina_10,spain_242,2,undirected
argentina_10,spain_33,2,undirected
argentina_10,spain_5,2,undirected
argentina_10,spain_79,2,undirected
argentina_10,spain_80,3,undirected
argentina_10,venezuela_30,2,undirected
argentina_10,venezuela_36,3,undirected
argentina_10,venezuela_69,3,undirected
argentina_10,venezuela_77,2,undirected
argentina_11,argentina_35,1,undirected
argentina_11,argentina_37,1,undirected
argentina_11,chile_141,2,undirected
argentina_11,chile_145,3,undirected
argentina_11,chile_5,1,undirected
argentina_11,chile_53,2,undirected
argentina_11,mexico_0,4,undirected
argentina_11,mexico_12,5,undirected
argentina_11,peru_111,3,undirected
argentina_11,peru_68,2,undirected
argentina_11,spain_22,1,undirected
argentina_12,argentina_16,1,undirected
argentina_12,peru_122,3,undirected
argentina_12,peru_67,2,undirected
argentina_12,spain_121,1,undirected
argentina_13,argentina_18,3,undirected
argentina_13,mexico_45,2,undirected
argentina_13,peru_134,1,undirected
argentina_14,argentina_16,3,undirected
argentina_14,argentina_21,2,undirected
argentina_14,argentina_35,1,undirected
argentina_14,chile_89,3,undirected
argentina_14,peru_34,2,undirected
argentina_15,spain_182,2,undirected
argentina_15,spain_225,2,undirected
argentina_15,venezuela_28,3,undirected
argentina_16,argentina_0,2,undirected
argentina_16,argentina_12,1,undirected
