Source,Target,Weight,Type
chatbot_0,chatbot_1,2,undirected
chatbot_0,chatbot_2,5,undirected
chatbot_0,latam_132,2,undirected
chatbot_1,chatbot_0,2,undirected
chatbot_1,chatbot_2,6,undirected
chatbot_1,spain_32,2,undirected
chatbot_10,chatbot_16,1,undirected
chatbot_10,chatbot_3,5,undirected
chatbot_10,chatbot_4,6,undirected
chatbot_10,chatbot_6,1,undirected
chatbot_11,chatbot_4,1,undirected
chatbot_11,chatbot_5,3,undirected
chatbot_11,chatbot_6,6,undirected
chatbot_12,chatbot_28,3,undirected
chatbot_12,latam_28,1,undirected
chatbot_12,spain_32,2,undirected
chatbot_13,chatbot_15,5,undirected
chatbot_13,chatbot_17,1,undirected
chatbot_13,chatbot_7,2,undirected
chatbot_14,latam_28,3,undirected
chatbot_14,latam_46,1,undirected
chatbot_14,spain_32,2,undirected
chatbot_15,chatbot_13,5,undirected
chatbot_15,chatbot_7,1,undirected
chatbot_15,spain_32,3,undirected
chatbot_16,chatbot_10,1,undirected
chatbot_16,chatbot_3,2,undirected
chatbot_16,chatbot_4,4,undirected
chatbot_16,chatbot_6,2,undirected
chatbot_17,chatbot_13,1,undirected
chatbot_17,chatbot_18,2,undirected
chatbot_17,chatbot_22,6,undirected
chatbot_17,chatbot_23,3,undirected
chatbot_17,chatbot_7,2,undirected
chatbot_18,chatbot_17,2,undirected
chatbot_18,chatbot_24,6,undirected
chatbot_18,chatbot_27,1,undirected
chatbot_19,latam_132,1,undirected
chatbot_19,spain_109,2,undirected
chatbot_19,spain_32,3,undirected
chatbot_2,chatbot_0,5,undirected
chatbot_2,chatbot_1,6,undirected
chatbot_2,chatbot_25,2,undirected
chatbot_2,chatbot_9,3,undirected
chatbot_2,spain_32,1,undirected
chatbot_20,chatbot_21,2,undirected
chatbot_20,chatbot_28,3,undirected
chatbot_20,latam_132,1,undirected
chatbot_20,latam_28,2,undirected
chatbot_21,chatbot_20,2,undirected
chatbot_21,latam_132,1,undirected
chatbot_21,spain_32,3,undirected
chatbot_22,chatbot_17,6,undirected
chatbot_22,chatbot_26,4,undirected
chatbot_22,chatbot_27,2,undirected
chatbot_23,chatbot_17,3,undirected
chatbot_23,chatbot_7,5,undirected
chatbot_23,spain_133,1,undirected
chatbot_24,chatbot_18,6,undirected
chatbot_24,spain_116,2,undirected
chatbot_24,spain_42,1,undirected
chatbot_25,chatbot_2,2,undirected
chatbot_25,latam_132,1,undirected
chatbot_25,spain_234,3,undirected
chatbot_26,chatbot_22,4,undirected
chatbot_26,chatbot_27,6,undirected
chatbot_26,chatbot_7,1,undirected
chatbot_27,chatbot_18,1,undirected
chatbot_27,chatbot_22,2,undirected
chatbot_27,chatbot_26,6,undirected
chatbot_27,chatbot_7,3,undirected
chatbot_28,chatbot_12,3,undirected
chatbot_28,chatbot_20,3,undirected
chatbot_28,chatbot_35,1,undirected
chatbot_28,latam_132,3,undirected
chatbot_28,latam_28,2,undirected
chatbot_28,spain_133,1,undirected
chatbot_29,latam_16,1,undirected
chatbot_29,spain_116,3,undirected
chatbot_29,spain_42,2,undirected
chatbot_3,chatbot_10,5,undirected
