Source,Target,Weight,Type
chatbot_0,latam_67,3,undirected
chatbot_0,latam_95,1,undirected
chatbot_0,spain_224,2,undirected
chatbot_1,spain_224,2,undirected
chatbot_1,spain_25,3,undirected
chatbot_1,spain_46,1,undirected
chatbot_10,latam_28,1,undirected
chatbot_10,spain_213,3,undirected
chatbot_10,spain_25,2,undirected
chatbot_11,chatbot_4,1,undirected
chatbot_11,latam_88,3,undirected
chatbot_11,spain_25,2,undirected
chatbot_12,spain_25,3,undirected
chatbot_12,spain_32,1,undirected
chatbot_12,spain_46,2,undirected
chatbot_13,chatbot_15,3,undirected
chatbot_13,chatbot_7,2,undirected
chatbot_13,latam_61,1,undirected
chatbot_13,spain_46,2,undirected
chatbot_14,latam_24,2,undirected
chatbot_14,spain_224,3,undirected
chatbot_14,spain_46,1,undirected
chatbot_15,chatbot_13,3,undirected
chatbot_15,latam_67,1,undirected
chatbot_15,spain_25,3,undirected
chatbot_15,spain_46,2,undirected
chatbot_16,latam_65,2,undirected
chatbot_16,latam_95,3,undirected
chatbot_16,spain_25,1,undirected
chatbot_17,latam_95,1,undirected
chatbot_17,spain_25,2,undirected
chatbot_17,spain_46,3,undirected
chatbot_18,chatbot_24,6,undirected
chatbot_18,chatbot_34,2,undirected
chatbot_18,spain_46,1,undirected
chatbot_19,spain_25,3,undirected
chatbot_19,spain_32,2,undirected
chatbot_19,spain_46,1,undirected
chatbot_2,latam_44,2,undirected
chatbot_2,spain_224,1,undirected
chatbot_2,spain_46,3,undirected
chatbot_20,latam_95,3,undirected
chatbot_20,spain_25,2,undirected
chatbot_20,spain_46,1,undirected
chatbot_21,latam_95,2,undirected
chatbot_21,spain_25,3,undirected
chatbot_21,spain_46,1,undirected
chatbot_22,latam_95,1,undirected
chatbot_22,spain_224,3,undirected
chatbot_22,spain_75,2,undirected
chatbot_23,latam_88,1,undirected
chatbot_23,spain_118,3,undirected
chatbot_23,spain_46,2,undirected
chatbot_24,chatbot_18,6,undirected
chatbot_24,chatbot_34,1,undirected
chatbot_24,spain_213,2,undirected
chatbot_25,latam_61,1,undirected
chatbot_25,latam_95,2,undirected
chatbot_25,spain_25,3,undirected
chatbot_26,chatbot_27,6,undirected
chatbot_26,spain_224,2,undirected
chatbot_26,spain_25,1,undirected
chatbot_27,chatbot_26,6,undirected
chatbot_27,latam_65,1,undirected
chatbot_27,latam_95,2,undirected
chatbot_28,latam_61,1,undirected
chatbot_28,latam_95,2,undirected
chatbot_28,spain_46,3,undirected
chatbot_29,latam_97,1,undirected
chatbot_29,spain_25,3,undirected
chatbot_29,spain_46,2,undirected
chatbot_3,latam_61,2,undirected
chatbot_3,spain_25,3,undirected
chatbot_3,spain_46,1,undirected
chatbot_30,latam_44,1,undirected
chatbot_30,spain_224,3,undirected
chatbot_30,spain_25,2,undirected
chatbot_31,spain_224,2,undirected
chatbot_31,spain_25,3,undirected
chatbot_31,spain_46,1,undirected
chatbot_32,spain_224,1,undirected
chatbot_32,spain_25,3,undirected
chatbot_32,spain_46,2,undirected
chatbot_33,chatbot_34,6,undirected
chatbot_33,chatbot_35,3,undirected
chatbot_33,latam_95,1,undirected
chatbot_33,spain_25,2,undirected
chatbot_34,chatbot_18,2,undirected
chatbot_34,chatbot_24,1,undirected
chatbot_34,chatbot_33,6,undirected
chatbot_34,chatbot_35,1,undirected
chatbot_34,latam_95,2,undirected
chatbot_34,spain_25,1,undirected
chatbot_35,chatbot_33,3,undirected
chatbot_35,chatbot_34,1,undirected
chatbot_35,spain_25,2,undirected
chatbot_4,chatbot_11,1,undirected
chatbot_4,latam_65,1,undirected
chatbot_4,latam_88,2,undirected
chatbot_4,spain_25,3,undirected
chatbot_5,latam_61,2,undirected
chatbot_5,latam_95,3,undirected
chatbot_5,spain_46,1,undirected
chatbot_6,latam_44,1,undirected
chatbot_6,latam_67,2,undirected
chatbot_6,spain_25,3,undirected
chatbot_7,chatbot_13,2,undirected
chatbot_7,chatbot_8,3,undirected
chatbot_7,spain_46,1,undirected
chatbot_8,chatbot_7,3,undirected
chatbot_8,latam_67,2,undirected
chatbot_8,latam_95,3,undirected
chatbot_8,spain_25,1,undirected
chatbot_9,spain_25,1,undirected
chatbot_9,spain_46,3,undirected
chatbot_9,spain_75,2,undirected
latam_0,latam_22,3,undirected
latam_0,spain_233,2,undirected
latam_0,spain_25,1,undirected
latam_1,latam_23,2,undirected
latam_1,latam_30,3,undirected
latam_1,latam_44,1,undirected
latam_10,latam_16,4,undirected
latam_10,spain_18,6,undirected
latam_10,spain_25,1,undirected
latam_100,spain_118,3,undirected
latam_100,spain_224,2,undirected
latam_100,spain_25,1,undirected
latam_101,spain_224,1,undirected
latam_101,spain_25,2,undirected
latam_101,spain_46,3,undirected
latam_102,spain_224,2,undirected
latam_102,spain_25,3,undirected
latam_102,spain_46,1,undirected
latam_103,latam_30,2,undirected
latam_103,latam_56,1,undirected
latam_103,spain_121,3,undirected
latam_104,latam_144,2,undirected
latam_104,spain_25,3,undirected
latam_104,spain_46,1,undirected
latam_105,latam_144,3,undirected
latam_105,spain_25,1,undirected
latam_105,spain_46,2,undirected
latam_106,spain_224,1,undirected
latam_106,spain_25,3,undirected
latam_106,spain_46,2,undirected
latam_107,latam_56,2,undirected
latam_107,latam_95,3,undirected
latam_107,spain_213,1,undirected
latam_108,latam_67,2,undirected
latam_108,spain_25,1,undirected
latam_108,spain_46,3,undirected
latam_109,latam_95,3,undirected
latam_109,spain_25,2,undirected
latam_109,spain_46,1,undirected
latam_11,latam_23,2,undirected
latam_11,latam_44,3,undirected
latam_11,spain_46,1,undirected
latam_110,latam_61,2,undirected
latam_110,spain_25,1,undirected
latam_110,spain_46,3,undirected
latam_111,spain_224,2,undirected
latam_111,spain_25,3,undirected
