Source,Target,Weight,Type
chatbot_0,chatbot_1,14,undirected
chatbot_0,chatbot_2,40,undirected
chatbot_0,chatbot_28,1,undirected
chatbot_0,chatbot_33,1,undirected
chatbot_0,latam_132,5,undirected
chatbot_0,latam_60,3,undirected
chatbot_0,spain_10,3,undirected
chatbot_0,spain_109,1,undirected
chatbot_0,spain_122,1,undirected
chatbot_0,spain_156,2,undirected
chatbot_0,spain_3,2,undirected
chatbot_0,spain_32,9,undirected
chatbot_0,spain_33,2,undirected
chatbot_0,spain_46,11,undirected
chatbot_1,chatbot_0,14,undirected
chatbot_1,chatbot_2,49,undirected
chatbot_1,spain_3,1,undirected
chatbot_1,spain_32,14,undirected
chatbot_1,spain_46,4,undirected
chatbot_1,spain_50,2,undirected
chatbot_1,spain_91,4,undirected
chatbot_10,chatbot_16,15,undirected
chatbot_10,chatbot_18,2,undirected
chatbot_10,chatbot_22,1,undirected
chatbot_10,chatbot_3,50,undirected
chatbot_10,chatbot_4,59,undirected
chatbot_10,chatbot_6,5,undirected
chatbot_10,chatbot_7,5,undirected
chatbot_10,spain_32,5,undirected
chatbot_11,chatbot_20,1,undirected
chatbot_11,chatbot_22,1,undirected
chatbot_11,chatbot_27,3,undirected
chatbot_11,chatbot_28,1,undirected
chatbot_11,chatbot_4,20,undirected
chatbot_11,chatbot_5,28,undirected
chatbot_11,chatbot_6,57,undirected
chatbot_11,chatbot_7,2,undirected
chatbot_11,latam_0,1,undirected
chatbot_11,spain_202,2,undirected
chatbot_12,chatbot_2,1,undirected
chatbot_12,chatbot_20,3,undirected
chatbot_12,chatbot_28,37,undirected
chatbot_12,chatbot_5,1,undirected
chatbot_12,chatbot_8,2,undirected
chatbot_12,chatbot_9,3,undirected
chatbot_12,latam_145,3,undirected
chatbot_12,latam_28,2,undirected
chatbot_12,latam_95,1,undirected
chatbot_12,spain_1,2,undirected
chatbot_12,spain_240,3,undirected
chatbot_12,spain_32,8,undirected
chatbot_12,spain_46,9,undirected
chatbot_12,spain_88,1,undirected
chatbot_13,chatbot_14,2,undirected
chatbot_13,chatbot_15,52,undirected
chatbot_13,chatbot_17,7,undirected
chatbot_13,chatbot_7,7,undirected
chatbot_13,chatbot_9,2,undirected
chatbot_13,latam_108,1,undirected
chatbot_13,spain_122,13,undirected
chatbot_13,spain_46,1,undirected
chatbot_13,spain_71,2,undirected
chatbot_14,chatbot_13,2,undirected
chatbot_14,chatbot_9,1,undirected
chatbot_14,latam_28,10,undirected
chatbot_14,latam_46,5,undirected
chatbot_14,spain_122,16,undirected
chatbot_14,spain_131,1,undirected
chatbot_14,spain_161,3,undirected
chatbot_14,spain_237,2,undirected
chatbot_14,spain_32,10,undirected
chatbot_14,spain_33,1,undirected
chatbot_14,spain_46,10,undirected
chatbot_14,spain_88,1,undirected
chatbot_15,chatbot_13,52,undirected
chatbot_15,latam_157,3,undirected
chatbot_15,latam_28,1,undirected
chatbot_15,spain_122,3,undirected
chatbot_15,spain_133,4,undirected
chatbot_15,spain_32,13,undirected
chatbot_15,spain_46,10,undirected
chatbot_15,spain_84,1,undirected
chatbot_16,chatbot_10,15,undirected
chatbot_16,chatbot_24,2,undirected
chatbot_16,chatbot_27,2,undirected
chatbot_16,chatbot_3,21,undirected
chatbot_16,chatbot_4,22,undirected
chatbot_16,chatbot_6,12,undirected
chatbot_16,spain_32,3,undirected
chatbot_17,chatbot_13,7,undirected
chatbot_17,chatbot_18,8,undirected
chatbot_17,chatbot_22,39,undirected
chatbot_17,chatbot_23,8,undirected
chatbot_17,chatbot_26,1,undirected
chatbot_17,chatbot_7,6,undirected
chatbot_17,chatbot_9,1,undirected
chatbot_17,latam_19,3,undirected
chatbot_17,spain_119,1,undirected
chatbot_17,spain_122,3,undirected
chatbot_17,spain_229,1,undirected
chatbot_17,spain_32,5,undirected
chatbot_17,spain_33,2,undirected
chatbot_17,spain_46,8,undirected
chatbot_18,chatbot_10,2,undirected
