Source,Target,Weight,Type
chatbot_0,chatbot_1,5,undirected
chatbot_0,chatbot_2,19,undirected
chatbot_0,chatbot_28,1,undirected
chatbot_0,chatbot_33,2,undirected
chatbot_0,chatbot_34,1,undirected
chatbot_0,chatbot_35,3,undirected
chatbot_0,latam_132,4,undirected
chatbot_0,latam_60,5,undirected
chatbot_0,spain_109,1,undirected
chatbot_0,spain_122,2,undirected
chatbot_0,spain_15,1,undirected
chatbot_0,spain_3,1,undirected
chatbot_0,spain_96,1,undirected
chatbot_1,chatbot_0,5,undirected
chatbot_1,chatbot_16,2,undirected
chatbot_1,chatbot_19,1,undirected
chatbot_1,chatbot_2,27,undirected
chatbot_1,latam_56,1,undirected
chatbot_1,spain_3,1,undirected
chatbot_1,spain_32,5,undirected
chatbot_10,chatbot_12,3,undirected
chatbot_10,chatbot_16,1,undirected
chatbot_10,chatbot_18,2,undirected
chatbot_10,chatbot_3,21,undirected
chatbot_10,chatbot_4,28,undirected
chatbot_10,chatbot_6,3,undirected
chatbot_10,latam_53,1,undirected
chatbot_10,latam_58,1,undirected
chatbot_10,spain_232,2,undirected
chatbot_11,chatbot_2,2,undirected
chatbot_11,chatbot_28,5,undirected
chatbot_11,chatbot_35,2,undirected
chatbot_11,chatbot_4,3,undirected
chatbot_11,chatbot_5,13,undirected
chatbot_11,chatbot_6,28,undirected
chatbot_11,latam_0,2,undirected
chatbot_11,latam_12,1,undirected
chatbot_11,spain_202,1,undirected
chatbot_12,chatbot_10,3,undirected
chatbot_12,chatbot_28,6,undirected
chatbot_12,chatbot_4,2,undirected
chatbot_12,chatbot_6,3,undirected
chatbot_12,latam_145,6,undirected
chatbot_12,latam_28,1,undirected
chatbot_12,latam_95,2,undirected
chatbot_12,spain_1,3,undirected
chatbot_12,spain_240,3,undirected
chatbot_12,spain_32,1,undirected
chatbot_13,chatbot_14,2,undirected
chatbot_13,chatbot_15,15,undirected
chatbot_13,chatbot_17,9,undirected
chatbot_13,chatbot_7,5,undirected
chatbot_13,latam_103,2,undirected
